Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1903-O GEM MS64 Silver Morgan Dollar PCGS MS64 Looks GEM Key Date,117089561766,"Mar 20, 2026",$740.00,$7.49,,,Auction,https://www.ebay.com/itm/117089561766
MS 62 TONER! 1903 O Morgan Silver Dollar ~ REVERSE MOUNTED ~ 90% Silver $1,117097910524,"Mar 23, 2026",$690.00,$6.75,,,Fixed price,https://www.ebay.com/itm/117097910524
"1903-O Better date Morgan dollar, PCGS MS65, great eye appeal DavidKahnRareCoins",127688269404,"Mar 15, 2026","$1,010.00",$0.00,,,Auction,https://www.ebay.com/itm/127688269404
"1903-O Better date Morgan dollar, PCGS MS65, great eye appeal DavidKahnRareCoins",127710731849,"Mar 29, 2026",$897.00,$0.00,,,Auction,https://www.ebay.com/itm/127710731849
1903-O Morgan Silver Dollar MS++,127758376059,"Mar 23, 2026",$663.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127758376059
1903-O New Orleans Mint Morgan Silver Dollar VG,127763902782,"Mar 29, 2026",$483.00,$0.00,,,Auction,https://www.ebay.com/itm/127763902782
1903-O MORGAN SILVER DOLLAR COIN SILVER UNCIRCULATED CERTIFIED MS 62,127776030036,"Apr 3, 2026",$681.20,$23.95,,,Auction,https://www.ebay.com/itm/127776030036
1903 o morgan silver dollar,147201441708,"Mar 19, 2026",$600.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147201441708
1903 O Morgan Silver Dollar PCGS MS-63 CAC Low CAC Pop!,157645745277,"Mar 24, 2026","$1,101.75",$0.00,,,Fixed price,https://www.ebay.com/itm/157645745277
1903 O Morgan Silver Dollar PCGS MS62 Key Date New Orleans Mint,157713988121,"Mar 7, 2026",$720.00,$8.75,,,Fixed price,https://www.ebay.com/itm/157713988121
1903-O Morgan Silver Dollar Gem BU UNC Blast White Key Date,157731834772,"Mar 9, 2026",$800.00,$14.45,,,Fixed price,https://www.ebay.com/itm/157731834772
1903-O Morgan Dollar / Good,157753697726,"Mar 21, 2026",$475.00,$5.07,,,Fixed price,https://www.ebay.com/itm/157753697726
[Removed] Item 157773150304,157773150304,"Mar 21, 2026",$45.00,$0.00,,,Fixed price,
1903-O Morgan Dollar PCGS MS63,168204952401,"Mar 14, 2026",$701.00,$9.99,,,Auction,https://www.ebay.com/itm/168204952401
MS BLAST WHITE 1902-O MORGAN SILVER DOLLAR BEAUTIFUL COLLECTORS COIN M1-616,177882000262,"Mar 6, 2026",$99.00,$5.25,,,Fixed price,https://www.ebay.com/itm/177882000262
1903 O Morgan Silver Dollar New Orleans High Grade Rare AU-UNC NIce Coin,177961845208,"Mar 23, 2026",$675.00,$9.99,,,Auction,https://www.ebay.com/itm/177961845208
,,"Mar 24, 2026",$665.00,$9.99,,,Auction,
1903 O Morgan Silver Dollar 1$ XF+ Details #98437,188018738766,"Mar 24, 2026",$599.99,$0.00,,,Fixed price,https://www.ebay.com/itm/188018738766
1903-O MORGAN SILVER DOLLAR VG TOUGH CIRCULATED KEY DATE,198161574998,"Mar 7, 2026",$520.00,$8.10,,,Fixed price,https://www.ebay.com/itm/198161574998
1903 O MORGAN DOLLAR AU,198164370140,"Mar 14, 2026",$540.00,$7.28,,,Auction,https://www.ebay.com/itm/198164370140
1903-O Morgan Silver Dollar -- Rare!,198203628640,"Mar 25, 2026",$590.00,$5.52,,,Auction,https://www.ebay.com/itm/198203628640
1903-O New Orleans Mint Morgan Silver Dollar,198218637360,"Mar 25, 2026",$499.00,$8.10,,,Fixed price,https://www.ebay.com/itm/198218637360
1903-O New Orleans Mint Morgan Silver Dollar,198232468177,"Mar 29, 2026",$492.00,$8.10,,,Fixed price,https://www.ebay.com/itm/198232468177
1903 O Morgan Dollar PCGS MS 65 White PQ Coin Check Variety,206108856994,"Mar 15, 2026",$852.00,$8.30,,,Auction,https://www.ebay.com/itm/206108856994
"1903-O 1903O $1 US Morgan Silver Dollar, PCGS MS64, Frosty, Free Shipping",206140613605,"Mar 15, 2026",$825.00,$0.00,,,Fixed price,https://www.ebay.com/itm/206140613605
1903-O Morgan Silver Dollar $1 - Tough Date - Blast White - NGC Certified MS64,227261441579,"Mar 19, 2026",$760.00,$9.95,,,Fixed price,https://www.ebay.com/itm/227261441579
"1903 O Morgan Silver Dollar, High Grade Better Semi-KEY Date New Orleans $1 Coin",236695312279,"Mar 29, 2026",$561.20,$9.38,,,Auction,https://www.ebay.com/itm/236695312279
1903-O Morgan Silver Dollar $1 - New Orleans Mint,257382571732,"Mar 6, 2026",$611.20,$4.01,,,Auction,https://www.ebay.com/itm/257382571732
1903-O Morgan Silver Dollar $1 - New Orleans Mint,257400726735,"Mar 18, 2026",$688.90,$4.88,,,Auction,https://www.ebay.com/itm/257400726735
1903 O Morgan Silver Dollar $1 PCGS MS 64,257405659899,"Apr 4, 2026",$875.32,$1.99,,,Fixed price,https://www.ebay.com/itm/257405659899
1903-O $1 Morgan Silver Dollar - Series Key Date with Rim Ding,257410514776,"Mar 29, 2026",$412.00,$4.25,,,Auction,https://www.ebay.com/itm/257410514776
1903 O MORGAN SILVER DOLLAR ANACS F 12 SEMI-KEY DATE!,257413367883,"Mar 21, 2026",$436.34,$0.00,,,Auction,https://www.ebay.com/itm/257413367883
"1903-O MORGAN SILVER DOLLAR , G/VG DETAILS",267535119077,"Mar 7, 2026",$595.00,$6.95,,,Fixed price,https://www.ebay.com/itm/267535119077
"1903-O MORGAN SILVER DOLLAR , VG DETAILS",267552919219,"Mar 17, 2026",$625.00,$6.95,,,Fixed price,https://www.ebay.com/itm/267552919219
1903 O Morgan Dollar PCGS MS65,277591715829,"Apr 4, 2026","$1,039.95",$6.95,,,Fixed price,https://www.ebay.com/itm/277591715829
1903-O MORGAN SILVER DOLLAR. CIRCULATED. AU CONDITION. HIGH GRADE.,277758490883,"Mar 8, 2026",$631.20,$5.95,,,Auction,https://www.ebay.com/itm/277758490883
"1903 O Morgan Silver Dollar, Uncirculated Better, Semi-KEY Date $1 Coin",277778408443,"Mar 22, 2026",$599.99,$5.32,,,Auction,https://www.ebay.com/itm/277778408443
1903 O Morgan Silver Dollar S$1 PCGS MS63 Choice Uncirculated,277806905562,"Mar 15, 2026",$749.95,$0.00,,,Fixed price,https://www.ebay.com/itm/277806905562
"1903-O Morgan Dollar, PCGS MS-64",298070429049,"Mar 8, 2026",$825.00,$15.00,,,Fixed price,https://www.ebay.com/itm/298070429049
1903-O Morgan Silver Dollar PCGS MS65 Blast White Stunner,298090116357,"Mar 7, 2026",$950.00,$5.07,,,Fixed price,https://www.ebay.com/itm/298090116357
1903-O Morgan Silver Dollar - Uncirculated Condition - UNC (M170),298160644313,"Mar 25, 2026",$575.00,$0.00,,,Fixed price,https://www.ebay.com/itm/298160644313
"1903-O Morgan Silver Dollar Coin, Lower Mintage Choice XF++/AU Better Date",298171368071,"Apr 2, 2026",$660.00,$0.00,,,Auction,https://www.ebay.com/itm/298171368071
1903 O Morgan Silver Dollar $1 NGC MS65. Beautiful Coin,306734620481,"Mar 25, 2026",$995.00,$5.29,,,Fixed price,https://www.ebay.com/itm/306734620481
1903-O Morgan Dollar PCGS MS63. Actual photo!,306808890573,"Mar 12, 2026",$759.00,$5.52,,,Auction,https://www.ebay.com/itm/306808890573
1903 O Morgan Silver Dollar $1 PCGS MS 64,306842847510,"Mar 27, 2026",$799.00,$11.00,,,Fixed price,https://www.ebay.com/itm/306842847510
,,"Oct 22, 2025",$21.96,$0.00,,,Fixed price,,3
MS BLAST WHITE 1902-O MORGAN SILVER DOLLAR BEAUTIFUL COLLECTORS COIN M1-616,177882000262,"Mar 6, 2026",$98.50,$5.25,,,Fixed price,https://www.ebay.com/itm/177882000262,2
,,"Nov 26, 2025",$799.00,$8.35,,,Fixed price,,1
,,"Nov 5, 2025",$750.00,$8.00,,,Fixed price,,1
,,"Jan 5, 2026",$739.00,$7.50,,,Fixed price,,1
,,"Nov 28, 2025",$750.00,$0.00,,,Fixed price,,1
,,"Dec 11, 2025",$709.00,$0.00,,,Fixed price,,1
1903 O Morgan Silver Dollar PCGS MS 63,116990271141,"Feb 3, 2026",$775.00,$11.87,,,Fixed price,https://www.ebay.com/itm/116990271141,1
1903-O Morgan Silver Dollar Super Rare Grade (cn16146),117028711068,"Feb 13, 2026",$550.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117028711068,1
NGC MS64 1903 O $1 Morgan Silver Dollar Coin Graded,117058596276,"Mar 3, 2026",$773.00,$20.00,,,Auction,https://www.ebay.com/itm/117058596276,1
"Morgan Silver Dollar Lot Of 4! No Reserve! 1903-P, 1900-O, 1891-S And 1894-O",117117115751,"Apr 2, 2026",$217.50,$5.39,,,Auction,https://www.ebay.com/itm/117117115751,1
,,"Jan 7, 2026",$770.00,$0.00,,,Fixed price,,1
,,"Nov 5, 2025",$779.95,$0.00,,,Fixed price,,1
,,"Dec 5, 2025",$800.00,$0.00,,,Fixed price,,1
,,"Nov 23, 2025",$629.00,$0.00,,,Auction,,1
,,"Nov 14, 2025",$760.00,$5.00,,,Auction,,1
,,"Nov 20, 2025","$1,050.00",$0.00,,,Fixed price,,1
1903 O Morgan Silver Dollar,127612449637,"Jan 15, 2026",$709.00,$0.00,,,Auction,https://www.ebay.com/itm/127612449637,1
1903-O Morgan Dollar PCGS MS-63,127613850297,"Feb 7, 2026",$799.00,$7.70,,,Fixed price,https://www.ebay.com/itm/127613850297,1
"1903-O Morgan dollar, PCGS MS63 fresh blast white DKRC's DOLLAR DEAL WEDNESDAY!!",127627738539,"Feb 4, 2026",$815.00,$0.00,,,Auction,https://www.ebay.com/itm/127627738539,1
1903-O Morgan Silver Dollar MS64+ PCGS *2033,127633560770,"Jan 28, 2026",$900.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127633560770,1
1903-O MORGAN SILVER DOLLAR,127639724662,"Jan 23, 2026",$410.00,$12.00,,,Auction,https://www.ebay.com/itm/127639724662,1
1903-O $1 Morgan Dollar NGC MS60 90% Silver US Coin ~ Key Date!,127667756030,"Feb 10, 2026",$649.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127667756030,1
1903-O New Orleans Mint Morgan Silver Dollar XF,127673648050,"Feb 15, 2026",$520.00,$0.00,,,Auction,https://www.ebay.com/itm/127673648050,1
1903 O Morgan Silver Dollar NGC MS 61,127692041321,"Feb 18, 2026",$695.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127692041321,1
,,"Oct 15, 2025",$645.00,$0.00,,,Fixed price,,1
,,"Oct 26, 2025",$450.00,$4.99,,,Auction,,1
,,"Nov 14, 2025",$806.00,$0.00,,,Fixed price,,1
,,"Nov 26, 2025",$101.00,$5.95,,,Auction,,1
1903-O Morgan Dollar PCGS MS63 GOLD SHIELD,136940318304,"Jan 18, 2026",$775.00,$5.07,,,Fixed price,https://www.ebay.com/itm/136940318304,1
1903-O AU POLISHED MORGAN SILVER DOLLAR YOU VS ME #MF-T1471,137079543786,"Mar 6, 2026",$440.00,$6.00,,,Auction,https://www.ebay.com/itm/137079543786,1
1903-O Morgan Silver Dollar $1 PCGS Gold Shield MS64 Blast White!,137197966177,"Apr 9, 2026",$860.00,$5.29,,,Auction,https://www.ebay.com/itm/137197966177,1
,,"Nov 12, 2025","$1,040.00",$0.00,,,Fixed price,,1
,,"Dec 2, 2025",$680.00,$5.20,,,Fixed price,,1
,,"Oct 29, 2025",$660.00,$0.00,,,Auction,,1
,,"Dec 28, 2025",$315.00,$15.00,,,Fixed price,,1
,,"Dec 25, 2025",$520.51,$14.99,,,Auction,,1
,,"Dec 21, 2025",$620.00,$4.54,,,Auction,,1
,,"Dec 27, 2025",$734.00,$6.50,,,Auction,,1
1903-O Morgan Silver Dollar New Orleans Bright White Rare AU-UNC - 923b,147107277632,"Jan 26, 2026",$699.99,$0.00,,,Fixed price,https://www.ebay.com/itm/147107277632,1
1903 O Morgan Dollar - #154 *Combined Shipping for Multiple Orders*,147128559654,"Feb 16, 2026",$599.99,$3.13,,,Auction,https://www.ebay.com/itm/147128559654,1
US Coin 1903 O Morgan Silver Dollar Gem BU Scarce Date NO RESERVE!,147140416576,"Feb 11, 2026",$717.00,$12.00,,,Auction,https://www.ebay.com/itm/147140416576,1
1903-O Morgan Dollar - Unc Details Light Toning (#61277-L),147154675527,"Feb 18, 2026",$641.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147154675527,1
1903-O MORGAN DOLLAR PCGS VG10,147181396684,"Mar 2, 2026",$625.00,$10.00,,,Fixed price,https://www.ebay.com/itm/147181396684,1
,,"Oct 17, 2025",$795.00,$0.00,,,Fixed price,,1
1903 O MORGAN SILVER DOLLAR NGC MS65 **NICE COIN**FREE SHIPPING G1420,156844118849,"Feb 18, 2026","$1,095.00",$0.00,,,Fixed price,https://www.ebay.com/itm/156844118849,1
,,"Dec 18, 2025",$825.00,$0.00,,,Fixed price,,1
,,"Oct 30, 2025",$800.00,$4.65,,,Fixed price,,1
,,"Oct 25, 2025",$815.00,$0.00,,,Fixed price,,1
,,"Dec 17, 2025",$775.00,$0.00,,,Fixed price,,1
,,"Nov 14, 2025",$700.00,$0.00,,,Fixed price,,1
,,"Nov 16, 2025","$1,175.00",$11.99,,,Auction,,1
,,"Nov 11, 2025",$523.00,$7.80,,,Fixed price,,1
,,"Nov 24, 2025",$595.00,$7.50,,,Fixed price,,1
,,"Dec 1, 2025",$669.95,$0.00,,,Fixed price,,1
,,"Dec 19, 2025",$890.00,$0.00,,,Auction,,1
1903-O MORGAN SILVER DOLLAR F/VF TOUGH CIRCULATED KEY DATE,157610423237,"Jan 14, 2026",$600.00,$7.50,,,Fixed price,https://www.ebay.com/itm/157610423237,1
1903-O Morgan Dollar PCGS Genuine Cleaned-UNC Detail,157616129672,"Jan 15, 2026",$500.00,$5.09,,,Fixed price,https://www.ebay.com/itm/157616129672,1
1903-O MORGAN SILVER DOLLAR VG TOUGH CIRCULATED KEY DATE,157663030763,"Mar 5, 2026",$465.00,$7.95,,,Fixed price,https://www.ebay.com/itm/157663030763,1
02/00000008 L#7023 1903 O Morgan Silver Dollar Coin PCGS MS65 (mwkz),157667026219,"Feb 8, 2026",$930.00,$0.00,,,Auction,https://www.ebay.com/itm/157667026219,1
02/0000014 L#1677 1903 O Morgan Silver Dollar Coin (xbr),157675941269,"Feb 14, 2026",$880.00,$0.00,,,Auction,https://www.ebay.com/itm/157675941269,1
1903-O Morgan Silver Dollar S$1 NGC MS64,157678400373,"Feb 28, 2026",$825.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157678400373,1
02/0000022 L#6272 1903 O Morgan Silver Dollar Coin (xrj),157697789486,"Feb 22, 2026",$716.00,$0.00,,,Auction,https://www.ebay.com/itm/157697789486,1
