Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1994 1 Onza Mexico Libertad Plata Pura 1 Troy Oz .999 Fine Silver Coin [W5],157731558728,"Mar 28, 2026",$92.00,$5.52,,,Auction,https://www.ebay.com/itm/157731558728
1994 Mo Mexico Libertad Onza 1/20 oz .999 Silver - SKU-Q3945,318025378011,"Mar 25, 2026",$37.00,$0.27,,,Auction,https://www.ebay.com/itm/318025378011,1
1994 1oz Silver Mexican Libertad Coin PCGS MS68,227261660720,"Mar 22, 2026",$260.00,$0.00,,,Auction,https://www.ebay.com/itm/227261660720,1
A 1994 1 Oz 999 SILVER MEXICO Libertad Pura Plata Littleton Select Holder,227264504675,"Mar 22, 2026",$137.50,$5.00,,,Auction,https://www.ebay.com/itm/227264504675,1
,,"Mar 22, 2026",$260.00,$0.00,,,Auction,,1
1994Mo Mexico 1 Onza Libertad Silver NGC MS66- Great Coin!,287216546302,"Mar 21, 2026",$175.00,$6.00,,,Auction,https://www.ebay.com/itm/287216546302,1
Scarce! 1/4 Troy Oz .999 Fine Silver Mexican Libertad In Capsule,177974856931,"Mar 19, 2026",$69.95,$0.00,,,Fixed price,https://www.ebay.com/itm/177974856931,1
1994 1oz Silver Mexican Libertad Coin PCGS MS68,198176946817,"Mar 18, 2026",$289.00,$0.00,,,Auction,https://www.ebay.com/itm/198176946817,1
"Mexico Liberty 1994, 1 Oz .999 Fine Silver Coin, Libertad Choice Uncirc. sealed",236685778236,"Mar 18, 2026",$141.38,$5.20,,,Auction,https://www.ebay.com/itm/236685778236,1
,,"Mar 18, 2026",$289.00,$0.00,,,Auction,,1
RARE 1994 Mexico 1 oz .999 Silver Onza in Beautiful BU Condition - Nice Find!,157732867957,"Mar 17, 2026",$132.50,$0.00,,,Auction,https://www.ebay.com/itm/157732867957
1994 1oz Silver Mexican Libertad Coin PCGS MS68,206121560194,"Mar 15, 2026",$221.50,$0.00,,,Auction,https://www.ebay.com/itm/206121560194,1
,,"Mar 15, 2026",$221.50,$0.00,,,Auction,,1
,,"Mar 14, 2026",$300.00,$0.00,,,Fixed price,,1
1994 1oz Silver Mexican Libertad Coin PCGS MS68,206111940931,"Mar 11, 2026",$233.50,$0.00,,,Auction,https://www.ebay.com/itm/206111940931,1
1994Mo Mexico 1 Onza Libertad Silver NGC MS66- Great Coin!,287196323104,"Mar 11, 2026",$185.00,$6.00,,,Fixed price,https://www.ebay.com/itm/287196323104,1
,,"Mar 11, 2026",$233.50,$0.00,,,Auction,,1
1994 1/2 Onza Mexico Libertad Plata Pura 999 Silver BU Coin,147195941149,"Mar 10, 2026",$129.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147195941149
1994 1oz Silver Mexican Libertad Coin PCGS MS68,198147775785,"Mar 8, 2026",$242.50,$0.00,,,Auction,https://www.ebay.com/itm/198147775785,1
,,"Mar 8, 2026",$242.50,$0.00,,,Auction,,1
1994 Libertad Silver 1 oz Mexico,117067288240,"Mar 7, 2026",$127.50,$6.00,,,Auction,https://www.ebay.com/itm/117067288240
1994 Mexico 1 oz Silver Onza / Libertad,306799480188,"Mar 7, 2026",$107.50,$6.75,,,Auction,https://www.ebay.com/itm/306799480188,1
1994 Mexico Libertad Onza 1oz Ley 999 Silver TOUGH DATE,267587725589,"Mar 5, 2026",$93.00,$5.00,,,Auction,https://www.ebay.com/itm/267587725589,1
,,"Mar 5, 2026",$93.00,$5.00,,,Auction,,1
1994 1oz Silver Mexican Libertad Coin PCGS MS68,198137916309,"Mar 4, 2026",$281.00,$0.00,,,Auction,https://www.ebay.com/itm/198137916309,1
,,"Mar 4, 2026",$281.00,$0.00,,,Auction,,1
1994 Mexico 1 oz Silver Libertad BU (Abrasions),126716469469,"Mar 3, 2026",$106.28,$0.00,,,Fixed price,https://www.ebay.com/itm/126716469469
1994 Mexico 1 oz Silver Libertad BU (Abrasions),126716469469,"Mar 3, 2026",$134.99,$0.00,,,Fixed price,https://www.ebay.com/itm/126716469469
1994 Mo Mexico 1 Onza Libertad 1 oz. Silver Coin – NGC MS66,206105089063,"Mar 2, 2026",$135.00,$5.27,,,Fixed price,https://www.ebay.com/itm/206105089063,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1323,327018314101,"Mar 2, 2026",$89.50,$1.94,,,Auction,https://www.ebay.com/itm/327018314101,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1324,327018317339,"Mar 2, 2026",$91.20,$1.50,,,Auction,https://www.ebay.com/itm/327018317339,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1325,327018317906,"Mar 2, 2026",$89.70,$1.71,,,Auction,https://www.ebay.com/itm/327018317906,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1326,327018318134,"Mar 2, 2026",$89.70,$1.76,,,Auction,https://www.ebay.com/itm/327018318134,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1327,327018318504,"Mar 2, 2026",$88.70,$6.95,,,Auction,https://www.ebay.com/itm/327018318504,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1328,327018318677,"Mar 2, 2026",$88.50,$1.38,,,Auction,https://www.ebay.com/itm/327018318677,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1329,327018318908,"Mar 2, 2026",$88.60,$1.39,,,Auction,https://www.ebay.com/itm/327018318908,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1330,327018319164,"Mar 2, 2026",$88.60,$1.39,,,Auction,https://www.ebay.com/itm/327018319164,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1331,327018319322,"Mar 2, 2026",$87.70,$1.37,,,Auction,https://www.ebay.com/itm/327018319322,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1332,327018320513,"Mar 2, 2026",$87.70,$1.37,,,Auction,https://www.ebay.com/itm/327018320513,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1333,327018320805,"Mar 2, 2026",$87.50,$1.37,,,Auction,https://www.ebay.com/itm/327018320805,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1334,327018321061,"Mar 2, 2026",$89.60,$1.40,,,Auction,https://www.ebay.com/itm/327018321061,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1335,327018321357,"Mar 2, 2026",$89.60,$1.40,,,Auction,https://www.ebay.com/itm/327018321357,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1336,327018321569,"Mar 2, 2026",$91.60,$1.75,,,Auction,https://www.ebay.com/itm/327018321569,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1337,327018321777,"Mar 2, 2026",$92.00,$4.02,,,Auction,https://www.ebay.com/itm/327018321777,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1338,327018322007,"Mar 2, 2026",$89.60,$1.40,,,Auction,https://www.ebay.com/itm/327018322007,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1339,327018322183,"Mar 2, 2026",$89.60,$1.40,,,Auction,https://www.ebay.com/itm/327018322183,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1340,327018322348,"Mar 2, 2026",$89.60,$1.40,,,Auction,https://www.ebay.com/itm/327018322348,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1341,327018322530,"Mar 2, 2026",$89.60,$1.40,,,Auction,https://www.ebay.com/itm/327018322530,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1342,327018322749,"Mar 2, 2026",$92.00,$6.95,,,Auction,https://www.ebay.com/itm/327018322749,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1343,327018322981,"Mar 2, 2026",$89.60,$1.40,,,Auction,https://www.ebay.com/itm/327018322981,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1344,327018323138,"Mar 2, 2026",$89.60,$1.51,,,Auction,https://www.ebay.com/itm/327018323138,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad #1265,327017021064,"Mar 1, 2026",$102.50,$2.23,,,Auction,https://www.ebay.com/itm/327017021064,1
1994 Mexico 1 oz Silver Onza / Libertad,298060187317,"Feb 28, 2026",$115.50,$3.35,,,Auction,https://www.ebay.com/itm/298060187317,1
1994-Mo Mexico 1 oz Silver Libertad Onza BU - .999,188064973389,"Feb 27, 2026",$154.99,$0.00,,,Fixed price,https://www.ebay.com/itm/188064973389,1
1994 Silver Libertad Mexico Coin 1/10oz .999 RARE Bullion Round,157705821581,"Feb 26, 2026",$37.94,$0.00,,,Fixed price,https://www.ebay.com/itm/157705821581
1994 Silver Libertad Mexico Coin 1/200oz .999 VERY RARE Bullion Round,157705832796,"Feb 26, 2026",$25.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157705832796
1994 Mexico Libertad 1 oz. Silver - NGC MS67,267587739820,"Feb 26, 2026",$210.00,$0.00,,,Fixed price,https://www.ebay.com/itm/267587739820,1
1994 Mexico Libertad Onza 1/4 Oz .999 MO,306791899348,"Feb 26, 2026",$39.99,$1.99,,,Fixed price,https://www.ebay.com/itm/306791899348,1
1994 1oz Silver Mexican Libertad Coin PCGS MS68,227222966040,"Feb 25, 2026",$260.00,$0.00,,,Auction,https://www.ebay.com/itm/227222966040,1
,,"Feb 25, 2026",$260.00,$0.00,,,Auction,,1
,,"Feb 25, 2026",$102.50,$5.99,,,Auction,,1
1994 1 oz Gold OVERLAY Mexican Silver Libertad,327007642557,"Feb 23, 2026",$105.00,$6.95,,,Auction,https://www.ebay.com/itm/327007642557,1
"1994 Mexico 1 Onza .999 Silver Libertad UNC 1ozt Plata Pura, Low Mintage Date",277643015207,"Feb 22, 2026",$133.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277643015207
1994-Mo (PR69 DCAM) Proof 1/20 oz Libertad Onza Silver PCGS - Beautiful,147166081039,"Feb 22, 2026",$90.00,$5.07,,,Fixed price,https://www.ebay.com/itm/147166081039
1994 Mo PCGS PROOF PR68 DCAM - MEXICO - 1/10 oz Silver Libertad Onza #51208A,226351642760,"Feb 22, 2026",$149.95,$0.00,,,Fixed price,https://www.ebay.com/itm/226351642760,1
1994Mo Mexico 1 Onza Libertad Silver NGC MS66 Orange Fiery Toner - Great Coin!,157679046869,"Feb 20, 2026",$249.99,$5.85,,,Fixed price,https://www.ebay.com/itm/157679046869
1993 Mo Mexico Libertad Onza 1/2 oz .999 Silver BU,306766802122,"Feb 19, 2026",$86.00,$5.50,,,Auction,https://www.ebay.com/itm/306766802122,1
"1994 Mexico 1/4 Ounce (Onza) .999 Silver Libertad, Plata Pura",267571242400,"Feb 15, 2026",$40.00,$5.52,,,Auction,https://www.ebay.com/itm/267571242400,1
1994 Mexico 1/20 Oz Silver Libertad 1/20 Onza Plata Pura Ley .999 Take a Look,198092673241,"Feb 14, 2026",$22.50,$5.00,,,Auction,https://www.ebay.com/itm/198092673241,1
1994 Mo Mexico Libertad Onza 1/2 oz .999 Silver BU,227207607626,"Feb 14, 2026",$93.50,$5.20,,,Auction,https://www.ebay.com/itm/227207607626,1
1994 Mexico 1 oz .999 Fine Silver Libertad Coin Uncirculated blue toning,257349568558,"Feb 14, 2026",$109.50,$5.29,,,Auction,https://www.ebay.com/itm/257349568558,1
A 1994 1 Oz 999 SILVER MEXICO Libertad Pura Plata Gem BU Littleton Select,257350090598,"Feb 14, 2026",$233.50,$5.52,,,Auction,https://www.ebay.com/itm/257350090598,1
"""Key Date"" 1994 Mexico Silver 1 Onza Uncirculated",326995644946,"Feb 14, 2026",$144.50,$0.00,,,Fixed price,https://www.ebay.com/itm/326995644946,1
1994 MEXICO LIBERTAD 1 ONZA SILVER NGC MS67,277697554381,"Feb 13, 2026",$200.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277697554381,1
1994 1oz Silver Mexican Libertad Coin PCGS MS68,206050199674,"Feb 11, 2026",$217.50,$0.00,,,Auction,https://www.ebay.com/itm/206050199674,1
,,"Feb 11, 2026",$217.50,$0.00,,,Auction,,1
1994 Mexico 1 Onza Silver Libertad - 1 oz .999 Fine Silver Coin - Key Date...,267566224137,"Feb 10, 2026",$129.50,$0.00,,,Auction,https://www.ebay.com/itm/267566224137,1
1994 1 oz 999 SILVER Ley Mexican Libertad 1 Onza Pura Plata Rare Limited Ed.Coin,145122516194,"Feb 9, 2026",$147.99,$8.99,,,Fixed price,https://www.ebay.com/itm/145122516194
"1994 1 oz 999 Fine SILVER Ley Mexican Libertad 1 Onza, Pura Plata Rare Coin!",267538480662,"Feb 9, 2026",$149.99,$6.99,,,Fixed price,https://www.ebay.com/itm/267538480662,1
1994 Mo Mexico 1 Onza Libertad 1 oz. Silver Coin – NGC MS66,306759018357,"Feb 9, 2026",$139.48,$8.30,,,Auction,https://www.ebay.com/itm/306759018357,1
1994 PCGS PR68-9 Mexico 1/20 1/10 1/4 1/2 oz Silver Proof Libertad 4 Coin 55899C,326731303041,"Feb 9, 2026",$794.95,$0.00,,,Fixed price,https://www.ebay.com/itm/326731303041,1
1994 Mexico 1 oz .999 Fine Silver Libertad,236612787606,"Feb 8, 2026",$112.50,$0.00,,,Auction,https://www.ebay.com/itm/236612787606,1
1994 Mo Mexico Libertad Onza 1/2 oz .999 Silver BU,267564366246,"Feb 8, 2026",$99.00,$5.52,,,Auction,https://www.ebay.com/itm/267564366246,1
1994 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin BU,287115955906,"Feb 8, 2026",$128.50,$3.99,,,Auction,https://www.ebay.com/itm/287115955906,1
1994 Mexico 1 Oz .999 Silver Libertad NGC MS 65 – Nice Luster!,297953535839,"Feb 7, 2026",$149.95,$0.00,,,Fixed price,https://www.ebay.com/itm/297953535839
1994 1 oz 999 SILVER Ley Mexican Libertad 1 Onza Pura Plata Rare Limited Coin!,285318188280,"Feb 6, 2026",$179.99,$8.99,,,Fixed price,https://www.ebay.com/itm/285318188280,1
1994 Mexico Mexican Libertad Silver 1 oz PCGS MS 68,157640232848,"Feb 5, 2026",$300.00,$5.39,,,Fixed price,https://www.ebay.com/itm/157640232848
