Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1882 S US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404939077704,"Mar 29, 2026",$97.26,$0.00,,,Fixed price,https://www.ebay.com/itm/404939077704
* 1882-S * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709618967,"Apr 5, 2026",$179.95,$0.00,,,Fixed price,https://www.ebay.com/itm/164709618967
1882 S Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,197721875715,"Mar 25, 2026",$150.30,$0.00,,,Fixed price,https://www.ebay.com/itm/197721875715
1882-S $1 Morgan Silver Dollar NGC MS63 Brown Label,317949412279,"Apr 4, 2026",$110.90,$0.00,,,Fixed price,https://www.ebay.com/itm/317949412279
1882-CC S$1 Morgan Silver Dollar GSA Hoard NGC MS64,317992736427,"Mar 24, 2026",$439.60,$0.00,,,Fixed price,https://www.ebay.com/itm/317992736427
1882 S Morgan Silver Dollar Fine See Pics,117055601198,"Mar 23, 2026",$56.00,$5.00,,,Auction,https://www.ebay.com/itm/117055601198
1882-S Morgan Silver Dollar AU++ (cn16521),117071745441,"Mar 7, 2026",$85.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117071745441
1882 S PCGS MS64 Morgan Silver Dollar,117073650986,"Mar 11, 2026",$110.00,$4.21,,,Auction,https://www.ebay.com/itm/117073650986
"Set of 5 - Morgan Silver Dollars $1 - 1882, 1883-S, 1884, 1885, 1886-O",117077354398,"Mar 15, 2026",$400.00,$12.51,,,Auction,https://www.ebay.com/itm/117077354398
1882-O/S Strong Morgan Silver Dollar AU++ (cn16671),117080503422,"Mar 12, 2026",$150.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117080503422
"1882-S Uncirculated Morgan Dollar (Ungraded, Loose)",117082117834,"Mar 18, 2026",$83.00,$7.01,,,Auction,https://www.ebay.com/itm/117082117834
Morgan Silver Dollar 1882-S ACG Rated Mint State 64,117093193492,"Mar 17, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117093193492
1882 Morgan Silver Dollar 1941 S Walking Liberty,117104576903,"Mar 28, 2026",$63.72,$5.40,,,Auction,https://www.ebay.com/itm/117104576903
1882-S Morgan Silver Dollar - 90% US Coin,117108621368,"Mar 27, 2026",$55.00,$6.00,,,Fixed price,https://www.ebay.com/itm/117108621368
1882 S Morgan Silver Dollar,117109558681,"Mar 26, 2026",$62.00,$4.95,,,Fixed price,https://www.ebay.com/itm/117109558681
BU/Unc 1882-S Morgan Silver Dollar (1 coin),123851663174,"Mar 15, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/123851663174
1882-S Morgan Dollar MS63 ANACS,127126669515,"Mar 15, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127126669515
1882-S Morgan Silver Dollar $1 - XF Condition- Nice Coin from the 1800's,127655241895,"Mar 28, 2026",$80.00,$3.95,,,Fixed price,https://www.ebay.com/itm/127655241895
1882-S Morgan Silver Dollar PCGS MS65+ Full Details Lustrous Silver Edge Toning,127689126797,"Mar 7, 2026",$225.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127689126797
"1882-S Morgan dollar, PCGS MS64, blast white super choice PQ DavidKahnRareCoins",127695563059,"Mar 15, 2026",$122.58,$0.00,,,Auction,https://www.ebay.com/itm/127695563059
"1882-S Morgan, PCGS MS63, blast white / bag color DKRC's DOLLAR DEAL WEDNESDAY!",127701210213,"Mar 18, 2026",$106.50,$0.00,,,Auction,https://www.ebay.com/itm/127701210213
"1882-S Morgan dollar, PCGS MS64, great color VIDEO DKRC's DOLLAR DEAL WEDNESDAY!",127701210237,"Mar 18, 2026",$166.50,$0.00,,,Auction,https://www.ebay.com/itm/127701210237
1882-s Morgan Silver Dollar Brilliant Uncirculated CARTWHEEL LUSTER,127705813778,"Mar 28, 2026",$77.00,$7.55,,,Auction,https://www.ebay.com/itm/127705813778
"1882-S Morgan dollar, PCGS MS65 intense cartwheel blazing gem DavidKahnRareCoins",127710368676,"Mar 22, 2026",$197.59,$0.00,,,Auction,https://www.ebay.com/itm/127710368676
"1882-S Morgan dollar, PCGS MS65, blast white gem DKRC's DOLLAR DEAL WEDNESDAY!!",127710400628,"Mar 25, 2026",$203.00,$0.00,,,Auction,https://www.ebay.com/itm/127710400628
MS 63 ~ 1882 S Morgan Silver Dollar ~ BRILLIANT UNCIRCULATED ~ 90% Silver $1,127712908378,"Mar 6, 2026",$117.50,$6.75,,,Auction,https://www.ebay.com/itm/127712908378
1882 S Silver Morgan Dollar NGC Certified MS 65,127729672328,"Mar 11, 2026",$210.00,$5.16,,,Fixed price,https://www.ebay.com/itm/127729672328
"1878-1882 5-Coin Uncirculated Morgan Dollar ""S"" Mint Set - High Grade",127730147779,"Mar 9, 2026",$550.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127730147779
"1882-S Morgan dollar, PCGS MS65, hint-of-gold gem DKRC's DOLLAR DEAL WEDNESDAY!!",127730880167,"Apr 1, 2026",$199.00,$0.00,,,Auction,https://www.ebay.com/itm/127730880167
1882 S Morgan Silver Dollar ~ BRILLIANT UNCIRCULATED ~ MS BU PQ ~ 90% Silver $1,127746442324,"Mar 22, 2026",$89.00,$6.75,,,Auction,https://www.ebay.com/itm/127746442324
Early - 1882-S Morgan Silver Dollar - 90% US Coin *409,127756157458,"Mar 23, 2026",$69.00,$0.00,,,Auction,https://www.ebay.com/itm/127756157458
1882 O/S $1 Morgan Silver Dollar,127759668706,"Mar 27, 2026",$52.00,$5.29,,,Auction,https://www.ebay.com/itm/127759668706
1882-S MORGAN SILVER DOLLAR ICG MS 63 #T1650,127760752891,"Mar 27, 2026",$96.00,$6.00,,,Auction,https://www.ebay.com/itm/127760752891
1882-S Morgan Silver Dollar #P33551,127765462375,"Apr 2, 2026",$67.00,$0.50,,,Auction,https://www.ebay.com/itm/127765462375
1882-S Morgan Silver Dollar SHINY MS++ Uncirculated Great Condition,127768120366,"Mar 25, 2026",$104.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127768120366
1882-S BU Morgan Silver Dollar High Grade,127772725971,"Apr 2, 2026",$86.99,$5.00,,,Auction,https://www.ebay.com/itm/127772725971
1882-S $1 Morgan Silver Dollar San Francisco Mint 26.6g,127773103993,"Apr 2, 2026",$59.00,$5.07,,,Auction,https://www.ebay.com/itm/127773103993
1882-O/S Morgan Silver Dollar $1 ICG AU53 VAM-3 Top 100,134555674956,"Mar 7, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/134555674956
1882-S Morgan Silver Dollar MS64 NGC Brown Label,135539397126,"Mar 7, 2026",$149.95,$0.00,,,Fixed price,https://www.ebay.com/itm/135539397126
1882-S NGC MS-64 Morgan Dollar strong cartwheel activity/reverse modest PL #195,136674928175,"Mar 27, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136674928175
1882-O/S Morgan Silver Dollar VF30 ICG *3825,136786266477,"Mar 29, 2026",$85.69,$0.00,,,Fixed price,https://www.ebay.com/itm/136786266477
1882-S PCGS MS-62 brilliant with slight golden rim toning Morgan Dollar #252,136940023161,"Mar 14, 2026",$134.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136940023161
1882-O/S Morgan Silver Dollar FINE E310 XUKEN,136940443665,"Mar 28, 2026",$105.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136940443665
1882-S San Francisco Morgan Silver Dollar MS 65 +,137030384855,"Mar 13, 2026",$270.00,$5.52,,,Fixed price,https://www.ebay.com/itm/137030384855
1882-O/S Morgan Silver Dollar AU+ E219 ATPB,137032879571,"Mar 17, 2026",$169.30,$0.00,,,Fixed price,https://www.ebay.com/itm/137032879571
1882-O/S MORGAN DOLLAR VAM 4 TOP 100 ANACS AU50 STRONG ACTUAL COIN #H366,137042099505,"Mar 8, 2026",$135.00,$5.25,,,Fixed price,https://www.ebay.com/itm/137042099505
"1882 O/S Morgan Silver Dollar, 90% (FO0002)",137104936412,"Mar 14, 2026",$63.50,$7.95,,,Auction,https://www.ebay.com/itm/137104936412
1882-O Morgan Silver Dollar PCGS MS64 S$1 Better Date New Orleans Mint,157789800337,"Apr 13, 2026",$165.00,$8.10,,,Fixed price,https://www.ebay.com/itm/157789800337,1
* 1882-S * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709618967,"Apr 13, 2026",$168.56,$0.00,,,Fixed price,https://www.ebay.com/itm/164709618967,18
1882-O/S (Recessed) Morgan Dollar - VAM-4 - MS63 - PCGS - Nice Luster,306736077987,"Apr 13, 2026",$500.00,$9.95,,,Fixed price,https://www.ebay.com/itm/306736077987,1
1882-S Morgan Silver Dollar NCG Mint State 62,257048227728,"Apr 12, 2026",$112.46,$5.30,,,Fixed price,https://www.ebay.com/itm/257048227728,1
04/000012 L#445 1882-S Morgan Silver Dollar PCS MS63 (red) -A.8,389876557925,"Apr 12, 2026",$110.00,$0.00,,,Auction,https://www.ebay.com/itm/389876557925,1
1882 S Morgan Silver Dollar - PCGS MS-64,188248604091,"Apr 12, 2026",$123.50,$6.99,,,Auction,https://www.ebay.com/itm/188248604091,1
"1882-S Morgan dollar, PCGS MS65 intense cartwheel blazing gem DavidKahnRareCoins",206143981600,"Apr 12, 2026",$197.50,$0.00,,,Auction,https://www.ebay.com/itm/206143981600,1
1882-S Morgan Silver Dollar PCGS MS64 S$1 San Francisco Minted No Reserve,397793616827,"Apr 12, 2026",$97.50,$0.00,,,Auction,https://www.ebay.com/itm/397793616827,1
1882 Morgan Silver Dollar PCGS MS64 S$1 Philadelphia Minted No Reserve,397793607596,"Apr 12, 2026",$118.00,$0.00,,,Auction,https://www.ebay.com/itm/397793607596,1
VIDEO 👀🔥PROOF-LIKE 🔥1882-S MORGAN DOLLAR DMPL MS++ KNOCKOUT MIRRORS GEM BU,366329594489,"Apr 12, 2026",$177.00,$0.00,,,Auction,https://www.ebay.com/itm/366329594489,1
1882-S MS64 Morgan Silver Dollar NGC Certified,227290101873,"Apr 12, 2026",$93.00,$4.00,,,Auction,https://www.ebay.com/itm/227290101873,1
Uncirculated 1882-S San Francisco Mint Silver Morgan Dollar,358414712173,"Apr 12, 2026",$134.50,$17.00,,,Auction,https://www.ebay.com/itm/358414712173,1
1882-S Morgan Silver Dollar $1 San Francisco Mint US Coin,198263536765,"Apr 12, 2026",$53.00,$0.00,,,Auction,https://www.ebay.com/itm/198263536765,1
1882-S Morgan Silver Dollar $1 CACG MS65 WITTERBRICK! - Ships Free!,358434477532,"Apr 11, 2026",$224.29,$0.00,,,Auction,https://www.ebay.com/itm/358434477532,1
1882-S Morgan Silver Dollar San Francisco Mint BU Brilliant Uncirculated,137218658334,"Apr 11, 2026",$79.99,$0.00,,,Fixed price,https://www.ebay.com/itm/137218658334,1
"1882-S Morgan Silver Dollar - 90% US Coin, No Reserve #646",206190539330,"Apr 11, 2026",$60.00,$1.70,,,Auction,https://www.ebay.com/itm/206190539330,1
1882-S Morgan Silver Dollar $1 PCGS MS64PL Old Rattler Holder,318102899812,"Apr 11, 2026",$238.70,$6.00,,,Auction,https://www.ebay.com/itm/318102899812,1
1882-S Morgan Silver Dollar $1 ANACS MS62 Old Soapbox Holder Looks Proof Like!!,389843113500,"Apr 11, 2026",$127.50,$6.00,,,Auction,https://www.ebay.com/itm/389843113500,1
"1882-S Morgan Silver Dollar - 90% US Coin, No Reserve #640",206190454490,"Apr 11, 2026",$53.00,$5.00,,,Auction,https://www.ebay.com/itm/206190454490,1
1882 O/S NGC AU58 Morgan Silver Dollar,157767948061,"Apr 11, 2026",$195.00,$5.29,,,Fixed price,https://www.ebay.com/itm/157767948061,1
1882-0/S MORGAN $1 Silver Dollar VAM 4 Recessed S TOP 100 NGC AU53 Rare USA Coin,157817426517,"Apr 11, 2026",$177.74,$0.00,,,Fixed price,https://www.ebay.com/itm/157817426517,1
04/000011 L#8114 1882-S Morgan Silver Dollar PCGS MS64 (red) -A.9,389875822693,"Apr 11, 2026",$117.00,$0.00,,,Auction,https://www.ebay.com/itm/389875822693,1
1882-S $1 Morgan Silver Dollar - Colorful Pattern Toning - BU - SKU-D7470,227192860352,"Apr 11, 2026",$105.00,$5.50,,,Fixed price,https://www.ebay.com/itm/227192860352,1
04/00000011 L#8221 1882 S Morgan Silver Dollar,389875822778,"Apr 11, 2026",$138.00,$0.00,,,Auction,https://www.ebay.com/itm/389875822778,1
1882- S Silver Morgan Dollar MS64 Fitzgerald Collection,397817769083,"Apr 11, 2026",$140.00,$0.00,,,Fixed price,https://www.ebay.com/itm/397817769083,1
1882-S Morgan Silver Dollar NGC MS 64 Brilliant Uncirculated,147242145151,"Apr 11, 2026",$98.03,$5.77,,,Auction,https://www.ebay.com/itm/147242145151,1
1882 O Over S Morgan Silver Dollar #166,389846546161,"Apr 11, 2026",$44.60,$5.40,,,Auction,https://www.ebay.com/itm/389846546161,1
BU 1882-S Morgan Silver Dollar ANACS MS64 Soap Box Holder Pretty Toning KYBM,137045925869,"Apr 11, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137045925869,1
1882-S Morgan Dollar 🇺🇸,277869935346,"Apr 11, 2026",$73.00,$4.88,,,Auction,https://www.ebay.com/itm/277869935346,1
1882 S US Morgan Silver Dollar $1 Gem Unc,188241289561,"Apr 11, 2026",$91.00,$4.99,,,Auction,https://www.ebay.com/itm/188241289561,1
1882-S Morgan Silver Dollar,227282272228,"Apr 11, 2026",$72.25,$0.63,,,Auction,https://www.ebay.com/itm/227282272228,1
1882-S Morgan Silver Dollar $1 PCGS MS66 Gem BU Brilliant Uncirculated,318126190710,"Apr 10, 2026",$299.95,$5.27,,,Fixed price,https://www.ebay.com/itm/318126190710,1
1882-S MORGAN SILVER DOLLAR ICG MS 63 #T1755,127790484756,"Apr 10, 2026",$76.05,$1.77,,,Auction,https://www.ebay.com/itm/127790484756,1
1882-S San Francisco Morgan Silver Dollar - CACG UNC Details,227285538208,"Apr 10, 2026",$119.99,$5.40,,,Auction,https://www.ebay.com/itm/227285538208,1
1882 S MORGAN DOLLAR- TONING -90% SILVER -better Grade-auction,168277469947,"Apr 10, 2026",$89.00,$5.07,,,Auction,https://www.ebay.com/itm/168277469947,1
1882-S Morgan Silver Dollar PCGS MS64,389842542853,"Apr 10, 2026",$121.50,$0.00,,,Auction,https://www.ebay.com/itm/389842542853,1
1882-S $1 Morgan Silver Dollar NGC MS64 NOT SENT TO CAC UNDERGRADED BLAZER!,377088693879,"Apr 10, 2026",$124.50,$5.29,,,Auction,https://www.ebay.com/itm/377088693879,1
1882-S Silver Morgan Dollar Rattler PCGS MS63PL Proof Like Old Holder,188243806230,"Apr 10, 2026",$250.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188243806230,1
1882-S PCGS MS 63 Morgan Silver Dollar. Fresh In New Holder!,267295497734,"Apr 10, 2026",$105.00,$5.00,,,Fixed price,https://www.ebay.com/itm/267295497734,2
1882-S Morgan Silver Dollar MS63 ICG *1793,137194721555,"Apr 10, 2026",$109.95,$0.00,,,Auction,https://www.ebay.com/itm/137194721555,1
"1882-S MORGAN Dollar ""Better Date"" - Choice Uncirculated Condition",298197315995,"Apr 10, 2026",$82.00,$4.99,,,Auction,https://www.ebay.com/itm/298197315995,1
"1882-S Morgan Silver Dollar - 90% US Coin, No Reserve #601",206187698113,"Apr 10, 2026",$53.00,$5.52,,,Auction,https://www.ebay.com/itm/206187698113,1
1882 S Morgan Silver Dollar PCGS MS64,127772437093,"Apr 10, 2026",$105.00,$5.29,,,Fixed price,https://www.ebay.com/itm/127772437093,1
1882 S Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,197721875715,"Apr 10, 2026",$145.38,$0.00,,,Fixed price,https://www.ebay.com/itm/197721875715,18
"1879-S, 1880-S, 1881-S & 1882-S Morgan Silver Dollars SAN FRANCISCO MINT",206180584436,"Apr 10, 2026",$255.55,$0.50,,,Auction,https://www.ebay.com/itm/206180584436,1
1882-S MORGAN DOLLAR $1 PCGS MS65PL PROOFLIKE (PQ147),358339112867,"Apr 10, 2026",$550.00,$0.00,,,Fixed price,https://www.ebay.com/itm/358339112867,1
