Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
(1) Morgan Dollar 1878-1904 Au-Bu Uncirculated From OBW Estate Roll 90% Silver,266971222719,"Dec 2, 2025",$86.62,$0.00,,,Fixed price,https://www.ebay.com/itm/266971222719,6
(5) Morgan Dollars From OBW Roll Estate 1878-1904 CHOICE-GEM Bu Unc 90% Silver,267127145502,"Mar 17, 2026",$834.11,$0.00,,,Fixed price,https://www.ebay.com/itm/267127145502,6
(10) 1878-1904 Morgan Dollar CC ENDER Coin Roll STUNNING GEMS Bu Unc 90% Sil.,267244619919,"Jan 21, 2026","$1,676.60",$0.00,,,Fixed price,https://www.ebay.com/itm/267244619919,6
1904-O $1 Morgan Silver Dollar PCGS MS 62 | Uncirculated UNC,305211054831,"Dec 28, 2025",$73.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305211054831,7
1878-1904 Morgan Dollars MS-64 NGC,111841506115,"Feb 28, 2026",$115.50,$0.00,,,Fixed price,https://www.ebay.com/itm/111841506115,5
VF 1904-S Morgan Silver Dollar (1 coin),135244737515,"Jan 12, 2026",$150.09,$0.00,,,Fixed price,https://www.ebay.com/itm/135244737515,5
** (1) BRILLIANT UNCIRCULATED BU MS MORGAN SILVER DOLLAR * FROM ROLL * 1878-1904,145702073755,"Mar 11, 2026",$105.00,$7.51,,,Fixed price,https://www.ebay.com/itm/145702073755,11
"Morgan Silver Dollar Coin (1878-1904, VG Plus)",155408564710,"Mar 23, 2026",$71.28,$0.00,,,Fixed price,https://www.ebay.com/itm/155408564710,5
RANDOM DATE 1878-1904 $1 MORGAN SILVER DOLLAR - UNCIRCULATED CONDITION!!,262516323112,"Jan 15, 2026",$71.39,$0.00,,,Fixed price,https://www.ebay.com/itm/262516323112,6
1904 O Morgan Dollar From OBW Estate Roll Choice-Gem Bu Uncirculated 90% Silver,266845165988,"Apr 1, 2026",$157.66,$0.00,,,Fixed price,https://www.ebay.com/itm/266845165988,5
,,"Dec 29, 2025",$299.00,$0.00,,,Fixed price,,5
,,"Jan 8, 2026",$299.00,$0.00,,,Fixed price,,5
"1878-1904 Morgan Dollar BU Uncirculated Half Roll 10 Coins Choice O, S, P Mint",365251207772,"Jan 8, 2026",$739.20,$0.00,,,Fixed price,https://www.ebay.com/itm/365251207772,5
1878-1904 $1 Morgan Silver Dollar Brilliant Uncirculated,385789170127,"Mar 21, 2026",$88.53,$0.00,,,Fixed price,https://www.ebay.com/itm/385789170127,11
"Superb Ms-63 Morgan Dollar (1878-1904) Pcgs, Cac And Ngc",127070009859,"Apr 7, 2026",$98.63,$5.32,,,Fixed price,https://www.ebay.com/itm/127070009859,4
[Removed] Item 127417055549,127417055549,"Dec 2, 2025",$84.75,$0.00,,,Fixed price,,4
(1) G/VG 1878-1904 Morgan Silver Dollar - Random Date - Eagle Reverse US Coin,133155793732,"Dec 27, 2025",$57.57,$0.00,,,Fixed price,https://www.ebay.com/itm/133155793732,18
"1878-1904 Silver Morgan Dollar, Random Year, (AU) 90% silver",147113578394,"Jan 28, 2026",$89.67,$0.00,,,Fixed price,https://www.ebay.com/itm/147113578394,15
1904-O $1 Morgan Silver Dollar NGC MS63 Bullion Plus Label Bag Fragment,147126548136,"Feb 8, 2026",$109.18,$0.00,,,Fixed price,https://www.ebay.com/itm/147126548136,4
"Morgan Silver Dollar Coin (1878-1904, XF)",156325273036,"Feb 9, 2026",$73.22,$0.00,,,Fixed price,https://www.ebay.com/itm/156325273036,17
[Removed] Item 157448615085,157448615085,"Nov 23, 2025",$27.00,$4.99,,,Fixed price,,4
"Morgan Silver Dollar Coin (1878-1904, VG-VF)",177660210728,"Feb 18, 2026",$68.21,$0.00,,,Fixed price,https://www.ebay.com/itm/177660210728,103
BLAST WHITE MS 1904-O MORGAN SILVER DOLLAR BEAUTIFUL COLLECTORS COIN M-1603,177754517283,"Mar 12, 2026",$87.75,$5.25,,,Fixed price,https://www.ebay.com/itm/177754517283,4
,,"Dec 11, 2025",$40.40,$0.00,,,Fixed price,,10
(1) Random Year 1878-1904 Brilliant Uncirculated Morgan Silver Dollar UNC - BU,186949424602,"Jan 28, 2026",$78.08,$0.00,,,Fixed price,https://www.ebay.com/itm/186949424602,13
,,"Dec 30, 2025","$1,186.25",$0.00,,,Fixed price,,4
US Morgan Silver Dollar - Roll of 20 coins - AU to BU Pre 1904 silver dollars,198149269185,"Mar 30, 2026","$1,392.99",$0.00,,,Fixed price,https://www.ebay.com/itm/198149269185,7
"1878-1904 Random Year Morgan Silver Dollar VG to VF, Lot of 1 (One) -#D5",227191614267,"Feb 27, 2026",$86.71,$0.00,,,Fixed price,https://www.ebay.com/itm/227191614267,8
1878 - 1904 Random Common Date Morgan Silver Dollar $1 Coin BU UNC Uncirculated,301696762345,"Jan 30, 2026",$110.23,$0.00,,,Fixed price,https://www.ebay.com/itm/301696762345,17
[Removed] Item 357948685965,357948685965,"Dec 1, 2025",$82.25,$0.00,,,Fixed price,,4
,,"Nov 13, 2025",$52.20,$0.00,,,Fixed price,,6
6 Morgan Silver Dollar US Reproduction Coins 1899 - 1904 Looks/Feels Authentic!,377007002913,"Apr 2, 2026",$16.25,$6.50,,,Fixed price,https://www.ebay.com/itm/377007002913,4
,,"Dec 23, 2025",$48.97,$3.99,,,Fixed price,,21
Lot of 1 90% - 1878 to 1904 Morgan Silver Dollars - Random Year $1 Face QZJ,389550499003,"Jan 29, 2026",$88.36,$0.00,,,Fixed price,https://www.ebay.com/itm/389550499003,17
"Morgan Silver Dollar Coin MS63 (1878-1904, PCGS or NGC)",397043570429,"Apr 8, 2026",$101.90,$0.00,,,Fixed price,https://www.ebay.com/itm/397043570429,7
AU+ 1904 (P) Morgan Silver Dollar (1 coin),126227207507,"Mar 19, 2026",$82.33,$0.00,,,Fixed price,https://www.ebay.com/itm/126227207507,3
VF 1904-O Morgan Silver Dollar (1 coin),126671187099,"Nov 16, 2025",$48.13,$0.00,,,Fixed price,https://www.ebay.com/itm/126671187099,3
,,"Nov 18, 2025",$88.00,$4.99,,,Fixed price,,3
1904-O Morgan Silver Dollar In Brilliant Uncirculated Condition,147185479083,"Mar 22, 2026",$80.00,$5.12,,,Fixed price,https://www.ebay.com/itm/147185479083,3
