Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 317930092677,317930092677,"Mar 18, 2026",$59.71,$0.00,,,Fixed price,
[Removed] Item 236656191550,236656191550,"Mar 19, 2026",$61.84,$0.00,,,Fixed price,
[Removed] Item 397591261782,397591261782,"Mar 10, 2026",$63.08,$0.00,,,Fixed price,
[Removed] Item 406722932000,406722932000,"Mar 19, 2026",$60.75,$0.00,,,Fixed price,
Item ID 306649561882,306649561882,"Mar 26, 2026",$60.73,$0.00,,,Fixed price,https://www.ebay.com/itm/306649561882
1880-O MORGAN SILVER DOLLAR BLAST WHITE BEAUTIFULLY TONED RIM #590618-62GG,123357764681,"Mar 28, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/123357764681
1880-P & 1880-O $1 Morgan Silver Dollars - PCGS F15 - 2-Coin Set CC889,127459656123,"Mar 7, 2026",$235.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127459656123
1880-o Morgan Silver Dollar AU-BU Slider RAINBOW TONED OBVERSE,127692850067,"Mar 21, 2026",$90.00,$8.10,,,Auction,https://www.ebay.com/itm/127692850067
1880 O MORGAN SILVER DOLLAR AU58 PCGS VALUE $125,127724047438,"Mar 13, 2026",$82.00,$5.00,,,Auction,https://www.ebay.com/itm/127724047438
1880-O Morgan Silver Dollar Circulated 90% Silver #CMG80O002,127727035193,"Mar 17, 2026",$61.64,$5.20,,,Fixed price,https://www.ebay.com/itm/127727035193
XF 1880-O Morgan Silver Dollar (1 coin) *3859,127732148374,"Mar 17, 2026",$79.95,$0.00,,,Auction,https://www.ebay.com/itm/127732148374
1880-O Morgan Dollar,127733714913,"Mar 21, 2026",$57.00,$8.75,,,Auction,https://www.ebay.com/itm/127733714913
Early - 1880-O Morgan Silver Dollar - 90% US Coin *483,127733992702,"Mar 16, 2026",$63.69,$0.00,,,Auction,https://www.ebay.com/itm/127733992702
1880-O Morgan Silver Dollar AU condition,127749081325,"Mar 26, 2026",$75.02,$5.95,,,Auction,https://www.ebay.com/itm/127749081325
Early - 1880-O Morgan Silver Dollar - 90% US Coin *629,127753126655,"Mar 22, 2026",$69.00,$0.00,,,Auction,https://www.ebay.com/itm/127753126655
Early - 1880-O Morgan Silver Dollar - 90% US Coin *687,127755710931,"Mar 23, 2026",$68.50,$0.00,,,Auction,https://www.ebay.com/itm/127755710931
1880 O Morgan Silver Dollar,127757998496,"Mar 26, 2026",$60.98,$5.22,,,Auction,https://www.ebay.com/itm/127757998496
Early - 1880-O Morgan Silver Dollar - 90% US Coin *691,127760291659,"Mar 25, 2026",$63.00,$0.00,,,Auction,https://www.ebay.com/itm/127760291659
Early - 1880-O Morgan Silver Dollar - 90% US Coin *528,127766695934,"Mar 28, 2026",$55.76,$0.00,,,Auction,https://www.ebay.com/itm/127766695934
Early - 1880-O Morgan Silver Dollar - 90% US Coin *567,127770854984,"Mar 30, 2026",$72.00,$0.00,,,Auction,https://www.ebay.com/itm/127770854984
Early - 1880-O Morgan Silver Dollar - 90% US Coin *348,127781436474,"Apr 4, 2026",$60.01,$0.00,,,Auction,https://www.ebay.com/itm/127781436474
🌈BU.1880-o $1 Morgan Silver Dollar🌈Rainbow naturally toned.,137004765332,"Apr 4, 2026",$190.00,$6.90,,,Fixed price,https://www.ebay.com/itm/137004765332
1880-O Morgan Silver Dollar PCGS MS61 - Beautiful Coloring -RARE #H346,137049445558,"Mar 18, 2026",$139.80,$5.20,,,Fixed price,https://www.ebay.com/itm/137049445558
"1880-O Morgan Dollar, Nice Coin, SHIPS FREE",137078869886,"Mar 6, 2026",$70.00,$0.00,,,Auction,https://www.ebay.com/itm/137078869886
Early - 1880-O Morgan Silver Dollar - 90% US Coin *548,137089115132,"Mar 7, 2026",$72.95,$0.00,,,Auction,https://www.ebay.com/itm/137089115132
Early - 1880-O Morgan Silver Dollar - 90% US Coin *615,137095579009,"Mar 9, 2026",$64.00,$0.00,,,Auction,https://www.ebay.com/itm/137095579009
Early - 1880-O Morgan Silver Dollar - 90% US Coin *900,137098734839,"Mar 10, 2026",$71.00,$0.00,,,Auction,https://www.ebay.com/itm/137098734839
Early - 1880-O Morgan Silver Dollar - 90% US Coin *137,137115106381,"Mar 15, 2026",$63.00,$0.00,,,Auction,https://www.ebay.com/itm/137115106381
1880-O Morgan Silver Dollar CACG MS60 Frosty White PQ New Holder #J299,137138823146,"Mar 19, 2026",$179.99,$5.99,,,Fixed price,https://www.ebay.com/itm/137138823146
1880-O $1 Morgan Silver Dollar [Toned] New Orleans Mint KM# 110 VF/XF,137145792783,"Mar 21, 2026",$70.00,$0.00,,,Auction,https://www.ebay.com/itm/137145792783
Early - 1880-O Morgan Silver Dollar - 90% US Coin *258,137148853952,"Mar 24, 2026",$58.00,$0.00,,,Auction,https://www.ebay.com/itm/137148853952
Morgan Silver Dollar 1880-O Ungraded Circulated Business Strike Type,137157002890,"Apr 1, 2026",$56.00,$8.75,,,Auction,https://www.ebay.com/itm/137157002890
"Two Morgan Silver Dollars 1880 O,S",137161076759,"Mar 29, 2026",$150.00,$5.07,,,Fixed price,https://www.ebay.com/itm/137161076759
Early - 1880-O Morgan Silver Dollar - 90% US Coin *329,137173833290,"Apr 1, 2026",$72.75,$0.00,,,Auction,https://www.ebay.com/itm/137173833290
1880 O Morgan Dollar Small o Extra Fine+ See Pics K500,147138168855,"Mar 22, 2026",$86.17,$3.95,,,Fixed price,https://www.ebay.com/itm/147138168855
1880 O Morgan Dollar Small o Extra Fine See Pics K499,147146206443,"Mar 22, 2026",$86.17,$3.95,,,Fixed price,https://www.ebay.com/itm/147146206443
1880-O Morgan Silver Dollar In Extremely Fine Condition,147154238054,"Mar 8, 2026",$76.00,$5.52,,,Fixed price,https://www.ebay.com/itm/147154238054
"1880-O Morgan Dollar US Silver $1.00 Coin Old Sharp Details, No Reserve $",147181762497,"Mar 7, 2026",$59.00,$5.00,,,Auction,https://www.ebay.com/itm/147181762497
1880 O $1 Morgan Silver Dollar,147186708201,"Mar 12, 2026",$76.00,$0.00,,,Auction,https://www.ebay.com/itm/147186708201
1880-O Pcgs Genuine Scrape Au Detail Morgan Silver Dollar,147192840234,"Mar 15, 2026",$68.00,$6.99,,,Auction,https://www.ebay.com/itm/147192840234
1879 O and 1880 $1 Morgan Silver Dollars,147197687518,"Mar 18, 2026",$125.60,$0.00,,,Auction,https://www.ebay.com/itm/147197687518
[Removed] Item 397591261782,397591261782,"Mar 10, 2026",$61.49,$0.00,,,Fixed price,,130
[Removed] Item 406590034110,406590034110,"Jan 26, 2026",$63.29,$0.00,,,Fixed price,,128
[Removed] Item 236620509941,236620509941,"Feb 12, 2026",$62.41,$0.00,,,Fixed price,,69
[Removed] Item 236656191550,236656191550,"Mar 19, 2026",$62.37,$0.00,,,Fixed price,,43
[Removed] Item 136556503642,136556503642,"Oct 23, 2025",$33.01,$0.00,,,Fixed price,,48
[Removed] Item 187796523123,187796523123,"Jan 8, 2026",$49.28,$0.00,,,Fixed price,,47
[Removed] Item 397361586719,397361586719,"Jan 8, 2026",$49.29,$0.00,,,Fixed price,,45
XF 1880-O Morgan Silver Dollar (1 coin),365921547129,"Jan 21, 2026",$59.90,$0.00,,,Fixed price,https://www.ebay.com/itm/365921547129,55
,,"Jan 13, 2026",$59.76,$0.00,,,Fixed price,,25
[Removed] Item 365964720854,365964720854,"Nov 14, 2025",$35.09,$0.00,,,Fixed price,,17
VF 1880-O Morgan Silver Dollar (1 coin),135244734185,"Feb 27, 2026",$51.37,$4.77,,,Fixed price,https://www.ebay.com/itm/135244734185,15
1880 O Morgan Dollar XF EF Extremely Fine 90% Silver $1 US Coin Collectible,365978681335,"Apr 8, 2026",$81.20,$0.00,,,Fixed price,https://www.ebay.com/itm/365978681335,39
,,"Nov 22, 2025",$32.85,$0.00,,,Fixed price,,9
,,"Nov 10, 2025",$34.82,$0.00,,,Fixed price,,6
[Removed] Item 357625813476,357625813476,"Dec 7, 2025",$90.00,$0.00,,,Fixed price,,7
VG/F 1880-O Morgan Silver Dollar (1 coin),365575702770,"Jan 4, 2026",$55.73,$0.00,,,Fixed price,https://www.ebay.com/itm/365575702770,6
,,"Nov 19, 2025",$31.83,$0.00,,,Fixed price,,7
[Removed] Item 227204927589,227204927589,"Feb 21, 2026",$55.78,$0.00,,,Fixed price,,5
,,"Nov 14, 2025",$33.05,$0.00,,,Fixed price,,8
,,"Nov 2, 2025",$32.34,$0.00,,,Fixed price,,5
,,"Oct 28, 2025",$30.80,$0.00,,,Fixed price,,4
[Removed] Item 317784689455,317784689455,"Feb 21, 2026",$61.76,$0.00,,,Fixed price,,5
1880-O US Morgan Silver Dollar Coin $1 - NGC Brilliant Uncirculated,376268395666,"Mar 11, 2026",$119.75,$0.00,,,Fixed price,https://www.ebay.com/itm/376268395666,4
1880 O Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,397144827520,"Feb 16, 2026",$227.54,$0.00,,,Fixed price,https://www.ebay.com/itm/397144827520,4
UNC/MS 1880-O MORGAN SILVER DOLLAR BEAUTIFULLY TONED COLLECTOR GRADE M-1419,116920466051,"Feb 10, 2026",$113.33,$5.25,,,Fixed price,https://www.ebay.com/itm/116920466051,3
,,"Oct 27, 2025",$31.33,$5.00,,,Fixed price,,3
1884-O MS63 $1 Morgan Dollar NGC,236641194183,"Feb 19, 2026",$87.00,$5.09,,,Fixed price,https://www.ebay.com/itm/236641194183,3
Item ID 306649561882,306649561882,"Apr 6, 2026",$60.97,$0.00,,,Fixed price,https://www.ebay.com/itm/306649561882,3
"1880 O BU/UNC Morgan Silver Dollar - PCS LEGENDS OF THE WEST, ""Jim Bridger"" RARE",116636389635,"Jan 19, 2026",$108.95,$2.93,,,Fixed price,https://www.ebay.com/itm/116636389635,2
1880 O Morgan Silver Dollar In Bright Beautiful Condition.,146591870358,"Feb 11, 2026",$75.00,$8.83,,,Fixed price,https://www.ebay.com/itm/146591870358,2
,,"Jan 12, 2026",$58.67,$5.84,,,Fixed price,,3
"LOT OF 5 MORGAN SILVER DOLLARS 1880 O, 1883 P, 1878 P, 1900 O, ERRORS",306362660456,"Jan 27, 2026",$99.99,$5.93,,,Fixed price,https://www.ebay.com/itm/306362660456,2
AU+ 1880-O Morgan Silver Dollar (1 coin),364620848655,"Dec 14, 2025",$58.98,$0.00,,,Fixed price,https://www.ebay.com/itm/364620848655,2
1880 O Morgan Dollar AU About Uncirculated 90% Silver $1 US Coin Collectible,366322554034,"Apr 13, 2026",$95.99,$0.00,,,Fixed price,https://www.ebay.com/itm/366322554034,5
,,"Jan 5, 2026",$50.00,$4.65,,,Fixed price,,1
,,"Jan 12, 2026",$105.00,$4.95,,,Fixed price,,1
,,"Oct 21, 2025",$38.95,$4.95,,,Fixed price,,1
,,"Oct 21, 2025",$33.00,$1.36,,,Fixed price,,1
1880 O Morgan dollar PCGS AU58 *VAM 74 DBL 880* EP,116589789127,"Mar 2, 2026",$94.00,$5.00,,,Fixed price,https://www.ebay.com/itm/116589789127,1
1880-O Morgan Dollar PCGS AU-58 - Lots of Luster!,116636507291,"Jan 21, 2026",$124.49,$0.00,,,Fixed price,https://www.ebay.com/itm/116636507291,1
,,"Dec 30, 2025",$48.00,$5.00,,,Fixed price,,1
,,"Dec 27, 2025",$61.00,$5.25,,,Fixed price,,1
,,"Oct 15, 2025",$63.00,$1.97,,,Auction,,1
,,"Nov 18, 2025",$215.00,$0.00,,,Fixed price,,1
,,"Oct 24, 2025",$90.00,$4.95,,,Auction,,1
,,"Oct 26, 2025",$44.99,$4.00,,,Auction,,1
,,"Oct 27, 2025",$55.00,$6.50,,,Auction,,1
,,"Oct 28, 2025",$66.00,$6.50,,,Auction,,1
,,"Oct 30, 2025",$190.50,$7.49,,,Auction,,1
,,"Nov 1, 2025",$51.00,$4.00,,,Auction,,1
,,"Nov 8, 2025",$39.99,$4.95,,,Auction,,1
,,"Nov 6, 2025",$38.52,$4.99,,,Auction,,1
,,"Nov 8, 2025",$97.10,$4.95,,,Auction,,1
,,"Nov 8, 2025",$40.00,$4.00,,,Auction,,1
,,"Nov 8, 2025",$36.00,$1.28,,,Auction,,1
,,"Nov 7, 2025",$69.00,$1.29,,,Auction,,1
,,"Nov 7, 2025",$168.50,$7.49,,,Auction,,1
,,"Nov 7, 2025",$54.00,$1.31,,,Auction,,1
,,"Nov 11, 2025",$99.00,$9.10,,,Auction,,1
,,"Dec 29, 2025",$65.00,$3.95,,,Fixed price,,1
,,"Nov 11, 2025",$64.88,$0.00,,,Auction,,1
,,"Nov 13, 2025",$70.00,$5.16,,,Auction,,1
,,"Nov 14, 2025",$45.11,$0.00,,,Auction,,1
,,"Nov 19, 2025",$75.01,$0.00,,,Auction,,1
,,"Nov 23, 2025",$151.38,$6.59,,,Auction,,1
