Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
SCARCE 2008 BANCO AZTECA 1 ONZA MEXICO SILVER LIBERTAD .999 PLATA PURA SILVER,227034755412,"Mar 22, 2026",$125.36,$4.50,,,Fixed price,https://www.ebay.com/itm/227034755412
,,"Jan 6, 2026",$132.03,$0.00,,,Fixed price,
2008 Mo MGC MS68 | MEXICO - 1 oz Silver Libertad,135284235839,"Jan 18, 2026",$147.50,$5.36,,,Fixed price,https://www.ebay.com/itm/135284235839
2008-Mo Mexico 1 oz Silver Libertad MS-69 NGC Purple Core Traderbea Slab Mexican,146599502627,"Jan 28, 2026",$169.75,$0.00,,,Fixed price,https://www.ebay.com/itm/146599502627
🇲🇽Silver - 2008mo Mexico 1 Onza - NGC X UnVaulted MS9.8 - Libertad,157718343111,"Mar 4, 2026",$134.00,$5.64,,,Fixed price,https://www.ebay.com/itm/157718343111
,,"Oct 30, 2025",$66.00,$5.00,,,Auction,
,,"Nov 20, 2025",$76.00,$0.38,,,Auction,
2008 Libertad Silver 1 oz Mexico,117070720996,"Mar 9, 2026",$112.50,$0.57,,,Auction,https://www.ebay.com/itm/117070720996
,,"Nov 23, 2025",$79.99,$7.80,,,Auction,
,,"Dec 31, 2025",$96.89,$8.10,,,Fixed price,
2008 Mexico Libertad 1 Onza .999 Silver Coin – 1 oz Plata Pura,127621392379,"Jan 13, 2026",$71.00,$4.76,,,Fixed price,https://www.ebay.com/itm/127621392379
2008 Mo 1 Oz MS69 PCGS Mexico Onza .999 Silver Libertad,127739826012,"Mar 14, 2026",$275.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127739826012
2008 Mo 1 Oz MS69 PCGS Mexico Onza .999 Silver Libertad,127746453767,"Mar 20, 2026",$260.00,$5.39,,,Fixed price,https://www.ebay.com/itm/127746453767
2008 Mo Mexico Onza(1 oz) Libertad Silver NGCX MS 9.8 = MS 68 Vaultbox Unvaulted,137024730909,"Feb 11, 2026",$122.51,$0.00,,,Auction,https://www.ebay.com/itm/137024730909
2008 México 1 oz. Silver Libertad,137049543205,"Feb 23, 2026",$137.75,$5.29,,,Fixed price,https://www.ebay.com/itm/137049543205
2008 Libertad Proof 1 Oz .999,137191463714,"Apr 3, 2026",$175.00,$5.30,,,Fixed price,https://www.ebay.com/itm/137191463714
,,"Dec 8, 2025",$80.00,$0.00,,,Fixed price,
2008 Libertad BU 1 Oz Silver Round Mexico Beautiful Yellow/Orange Tone,147157025673,"Feb 23, 2026",$115.50,$0.00,,,Auction,https://www.ebay.com/itm/147157025673
2008-Mo Mexico 1 oz Silver Libertad MS-69 NGC ~ Mexico Label,157424533330,"Feb 12, 2026",$175.00,$5.95,,,Fixed price,https://www.ebay.com/itm/157424533330
,,"Nov 9, 2025",$171.26,$5.95,,,Fixed price,
,,"Nov 22, 2025",$145.00,$5.95,,,Auction,
,,"Dec 6, 2025",$149.00,$5.95,,,Auction,
2008-Mo Mexico 1 oz Silver Libertad MS-69 NGC ~ Mexico Label,157553880960,"Feb 7, 2026",$175.00,$5.95,,,Fixed price,https://www.ebay.com/itm/157553880960
2008 mexico 1 oz silver libertad,157607090556,"Jan 12, 2026",$122.22,$7.54,,,Fixed price,https://www.ebay.com/itm/157607090556
2008 1 oz LIBERTAD PCGS Gold SHEILD MS69,157629975949,"Jan 27, 2026",$197.50,$4.88,,,Auction,https://www.ebay.com/itm/157629975949
2008-Mo Mexico 1 oz Silver Libertad MS-69 NGC ~ Mexico Label,157684035584,"Feb 15, 2026",$189.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157684035584
,,"Nov 30, 2025",$425.00,$0.00,,,Auction,
,,"Dec 7, 2025",$75.76,$0.00,,,Auction,
2008 Mexico Silver Libertad NGC MS67,168112936501,"Jan 26, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168112936501
,,"Oct 30, 2025",$66.00,$4.76,,,Auction,
2008 Mo PCGS UNC Detail MEXICO 1oz Silver Libertad Plata Pura Una Onza Coin 👌👍,177803233431,"Jan 26, 2026",$130.00,$7.50,,,Fixed price,https://www.ebay.com/itm/177803233431
2008 Mo Proof Mexico Libertad 1 oz Silver .999 Onza Ounce,178004021884,"Mar 29, 2026",$210.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178004021884
,,"Jan 3, 2026",$125.00,$6.00,,,Fixed price,
,,"Nov 7, 2025",$105.00,$0.00,,,Fixed price,
,,"Dec 11, 2025",$90.00,$0.00,,,Fixed price,
,,"Dec 19, 2025",$79.00,$5.25,,,Fixed price,
,,"Nov 23, 2025",$47.00,$4.87,,,Auction,
2008 Mo Mexico Libertad Onza 1 oz .999 Silver BU - PCGS MS 68 - SKU-Q2913,187932891360,"Jan 18, 2026",$145.00,$5.50,,,Fixed price,https://www.ebay.com/itm/187932891360
2008 1oz Silver Mexican Libertad Coin PCGS MS69,198062946913,"Feb 4, 2026",$305.00,$0.00,,,Auction,https://www.ebay.com/itm/198062946913
2008 1oz Silver Mexican Libertad Coin NGC MS69,198120730485,"Feb 25, 2026",$201.00,$0.00,,,Auction,https://www.ebay.com/itm/198120730485
2008 1oz Silver Mexican Libertad Coin PCGS MS69,198137993949,"Mar 4, 2026",$225.50,$0.00,,,Auction,https://www.ebay.com/itm/198137993949
,,"Nov 22, 2025",$74.99,$7.80,,,Fixed price,
,,"Dec 21, 2025",$22.50,$0.00,,,Auction,
,,"Dec 21, 2025",$25.00,$0.00,,,Auction,
,,"Dec 21, 2025",$37.11,$0.00,,,Auction,
,,"Dec 21, 2025",$61.00,$0.00,,,Auction,
2008 1oz Silver Mexican Libertad Coin PCGS MS69,206015992807,"Jan 28, 2026",$192.50,$0.00,,,Auction,https://www.ebay.com/itm/206015992807
2008 1oz Silver Mexican Libertad Coin NGC MS69,206034630631,"Feb 4, 2026",$202.50,$0.00,,,Auction,https://www.ebay.com/itm/206034630631
2008 1oz Silver Mexican Libertad Coin NGC MS69,206065497323,"Feb 18, 2026",$163.50,$0.00,,,Auction,https://www.ebay.com/itm/206065497323
2008 1oz Silver Mexican Libertad Coin PCGS MS69,206065521914,"Feb 18, 2026",$290.00,$0.00,,,Auction,https://www.ebay.com/itm/206065521914
2008 1oz Silver Mexican Libertad Coin PCGS MS69,206079700685,"Feb 25, 2026",$325.00,$0.00,,,Auction,https://www.ebay.com/itm/206079700685
,,"Jan 12, 2026",$122.22,$7.54,,,Fixed price,,1
T166 Mexico 2008 Silver Libertad 5 Onza PCGS MS-68 Pop:2/1,206081807932,"Feb 24, 2026",$635.25,$0.00,,,Auction,https://www.ebay.com/itm/206081807932,1
2008 1oz Silver Mexican Libertad Coin NGC MS69,206104710177,"Mar 8, 2026",$163.38,$0.00,,,Auction,https://www.ebay.com/itm/206104710177,1
2008 1oz Silver Mexican Libertad Coin NGC MS69,206111948122,"Mar 11, 2026",$182.50,$0.00,,,Auction,https://www.ebay.com/itm/206111948122,1
2008 1oz Silver Mexican Libertad Coin PCGS MS69,206111948160,"Mar 11, 2026",$183.50,$0.00,,,Auction,https://www.ebay.com/itm/206111948160,1
2008 1oz Silver Mexican Libertad Coin NGC MS69,206121563438,"Mar 15, 2026",$185.53,$0.00,,,Auction,https://www.ebay.com/itm/206121563438,1
Onza Libertad Toned 2008 PCGS MS67 Toning Mexican Silver Coin 1 oz TrueView,206142428033,"Mar 21, 2026",$500.00,$8.00,,,Fixed price,https://www.ebay.com/itm/206142428033,1
2008 Mo PCGS PR69 DCAM - MEXICO - 1 oz Silver Libertad Un Onza 🇲🇽,206173380451,"Mar 28, 2026",$289.99,$8.10,,,Fixed price,https://www.ebay.com/itm/206173380451,1
,,"Oct 25, 2025",$99.95,$0.00,,,Fixed price,,1
,,"Dec 8, 2025",$129.95,$0.00,,,Fixed price,,1
🇲🇽Silver - 2008mo Mexico 1 Onza - NGC X UnVaulted MS9.8 - Libertad - MS69,226519215080,"Jan 18, 2026",$149.00,$0.00,,,Fixed price,https://www.ebay.com/itm/226519215080,1
,,"Dec 26, 2025",$174.95,$0.00,,,Fixed price,,1
,,"Nov 12, 2025",$62.00,$0.00,,,Fixed price,,1
,,"Dec 23, 2025",$340.00,$7.36,,,Fixed price,,1
,,"Jan 4, 2026",$16.50,$0.00,,,Auction,,1
2008 1 ONZA LIBERTAD MEXICO COIN - .999 PLATA PURA SILVER - END OF ROLL TONE -BU,227187455181,"Jan 29, 2026",$152.50,$0.00,,,Auction,https://www.ebay.com/itm/227187455181,1
2008 Mo PCGS PR69 DCAM - MEXICO - 1 oz Silver Libertad Un Onza #44561A,227205130270,"Feb 15, 2026",$176.38,$7.84,,,Auction,https://www.ebay.com/itm/227205130270,1
2008 1oz Silver Mexican Libertad Coin NGC MS69,227232877857,"Mar 4, 2026",$187.00,$0.00,,,Auction,https://www.ebay.com/itm/227232877857,1
2008mo Mexico 1 Onza 1 Ounce 1 Oz Silver Libertad NGC X Vaultbox Unvaulted 9.8,227236856152,"Mar 1, 2026",$140.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227236856152,1
🇲🇽Silver 2008mo Mexico Libertad 1 Onza 1 Oz 1 Ounce Silver NGC X Vaultbox 9.8,227239776535,"Mar 4, 2026",$122.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227239776535,1
2008mo Mexico 1 Onza 1 Ounce 1 Oz Silver Libertad NGC X Vaultbox Unvaulted 9.8,227246496752,"Mar 9, 2026",$155.00,$0.00,,,Fixed price,https://www.ebay.com/itm/227246496752,1
,,"Jan 11, 2026",$99.95,$5.00,,,Fixed price,,1
2008 Mexico Onza Libertad NGC X MS-9.8 Vault Box TONED-0.999 Silver 1 Oz Coin,236674694411,"Apr 1, 2026",$144.00,$5.80,,,Fixed price,https://www.ebay.com/itm/236674694411,1
"2008 & 2011 Mo Mexico Libertad 1 Onza, Plata Pura, a Total 2 oz of Silver .999",236679147376,"Mar 15, 2026",$212.50,$5.09,,,Auction,https://www.ebay.com/itm/236679147376,1
3 x 2008 Mexico 1 oz .999 Fine Silver Libertad,236724810446,"Apr 5, 2026",$290.99,$0.00,,,Auction,https://www.ebay.com/itm/236724810446,1
2 x 2008 Mexico 1 oz .999 Fine Silver Libertad,236724828801,"Apr 5, 2026",$180.27,$0.00,,,Auction,https://www.ebay.com/itm/236724828801,1
,,"Oct 15, 2025",$75.00,$4.95,,,Fixed price,,1
,,"Dec 6, 2025",$159.00,$6.00,,,Auction,,1
,,"Jan 3, 2026",$90.00,$4.25,,,Auction,,1
,,"Jan 5, 2026",$135.00,$0.00,,,Fixed price,,1
2008 Mexico Libertad 1 oz BU Mexican Silver Coin Roll of 20 Original Pack,257377295659,"Mar 3, 2026","$2,950.00",$13.43,,,Auction,https://www.ebay.com/itm/257377295659,1
2008 Mexican Libertad 1 Onza Plata Pura 1 Ounce .999 Fine Silver Coin - Gem BU,257414171678,"Mar 28, 2026",$93.00,$6.00,,,Auction,https://www.ebay.com/itm/257414171678,1
2008 Mo PCGS MS69 MEXICO - 1 oz Silver Libertad - Un Onza Coin,257430952158,"Apr 4, 2026",$202.50,$6.00,,,Auction,https://www.ebay.com/itm/257430952158,1
,,"Oct 14, 2025",$90.00,$5.15,,,Fixed price,,1
,,"Nov 7, 2025",$135.00,$0.00,,,Fixed price,,1
2008 Mexico 1oz Silver Proof Libertad PF69 NGC,277500200321,"Mar 12, 2026",$200.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277500200321,1
,,"Nov 30, 2025",$73.00,$3.99,,,Auction,,1
,,"Dec 28, 2025",$97.00,$3.99,,,Auction,,1
2008-Mo Mexico Silver Libertad 1 Onza NGC MS-67,287158711528,"Mar 1, 2026",$167.50,$8.29,,,Auction,https://www.ebay.com/itm/287158711528,1
,,"Oct 28, 2025",$69.99,$5.99,,,Auction,,1
,,"Dec 21, 2025",$83.00,$0.00,,,Fixed price,,1
,,"Oct 22, 2025",$71.00,$4.60,,,Auction,,1
,,"Oct 23, 2025",$83.00,$4.60,,,Auction,,1
2008 Mo PCGS PR69 DCAM - MEXICO - 1 oz Silver Libertad Un Onza #44559A,325962946927,"Feb 4, 2026",$249.95,$0.00,,,Fixed price,https://www.ebay.com/itm/325962946927,1
,,"Jan 10, 2026",$139.95,$0.00,,,Fixed price,,1
,,"Oct 23, 2025",$149.00,$4.50,,,Fixed price,,1
2008 Mo Mexico Libertad 1 Onza .999 Silver NGC MS69 ‼️COVETED PURPLE CORE SLAB‼️,326950582178,"Jan 20, 2026",$169.95,$5.72,,,Fixed price,https://www.ebay.com/itm/326950582178,1
2008 Mo PCGS MS67 - Mexico 1 oz Silver 0.999 Libertad Onza Coin #58435A,326954566605,"Jan 16, 2026",$119.95,$0.00,,,Fixed price,https://www.ebay.com/itm/326954566605,1
