Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
GSA Black Box & COA for 1883-CC Morgan Silver Dollar - Empty No Carson City Coin,116603212877,"Apr 7, 2026",$18.27,$0.00,,,Fixed price,https://www.ebay.com/itm/116603212877
[Removed] Item 389062217771,389062217771,"Nov 25, 2025",$18.37,$7.00,,,Fixed price,
,,"Nov 14, 2025",$17.89,$0.00,,,Fixed price,
[Removed] Item 187693132748,187693132748,"Nov 20, 2025",$21.37,$10.00,,,Fixed price,
,,"Oct 21, 2025",$22.02,$0.00,,,Fixed price,
,,"Nov 25, 2025",$18.49,$0.00,,,Fixed price,
,,"Nov 29, 2025",$21.61,$0.00,,,Fixed price,
[Removed] Item 286940922644,286940922644,"Nov 24, 2025",$18.64,$0.00,,,Fixed price,
,,"Nov 14, 2025",$22.22,$4.99,,,Fixed price,
,,"Nov 25, 2025",$23.31,$0.00,,,Fixed price,
VF 1883 (P) Morgan Silver Dollar (1 coin),135753197728,"Jan 2, 2026",$58.49,$0.00,,,Fixed price,https://www.ebay.com/itm/135753197728
[Removed] Item 317427121697,317427121697,"Oct 20, 2025",$26.15,$0.00,,,Fixed price,
,,"Nov 12, 2025",$21.83,$0.00,,,Fixed price,
,,"Nov 3, 2025",$19.58,$0.00,,,Fixed price,
1883 O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404837029611,"Apr 7, 2026",$109.85,$0.00,,,Fixed price,https://www.ebay.com/itm/404837029611
,,"Nov 12, 2025",$21.32,$7.00,,,Fixed price,
[Removed] Item 406333517424,406333517424,"Nov 7, 2025",$18.08,$0.00,,,Fixed price,
,,"Oct 30, 2025",$22.03,$14.97,,,Fixed price,
[Removed] Item 397329709583,397329709583,"Dec 2, 2025",$23.65,$0.00,,,Fixed price,
[Removed] Item 357809045508,357809045508,"Oct 28, 2025",$22.62,$0.00,,,Fixed price,
VF 1883-S Morgan Silver Dollar (1 coin),365515337958,"Mar 13, 2026",$67.76,$0.00,,,Fixed price,https://www.ebay.com/itm/365515337958
,,"Nov 13, 2025",$22.74,$0.00,,,Fixed price,
[Removed] Item 205893772743,205893772743,"Jan 31, 2026",$207.26,$0.00,,,Fixed price,
[Removed] Item 336180852049,336180852049,"Oct 23, 2025",$22.86,$0.00,,,Fixed price,
[Removed] Item 389252549241,389252549241,"Dec 2, 2025",$65.00,$4.99,,,Fixed price,
* 1883-CC * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709651226,"Apr 6, 2026",$504.14,$32.70,,,Fixed price,https://www.ebay.com/itm/164709651226
[Removed] Item 317426099625,317426099625,"Oct 28, 2025",$22.86,$0.00,,,Fixed price,
,,"Nov 14, 2025",$23.20,$0.00,,,Fixed price,
,,"Nov 24, 2025",$22.71,$0.00,,,Fixed price,
[Removed] Item 397139904515,397139904515,"Nov 23, 2025",$19.61,$0.00,,,Fixed price,
,,"Oct 28, 2025",$20.64,$7.00,,,Fixed price,
[Removed] Item 127417049771,127417049771,"Nov 15, 2025",$21.28,$0.00,,,Fixed price,
[Removed] Item 187813677636,187813677636,"Dec 8, 2025",$45.86,$4.89,,,Fixed price,
[Removed] Item 406386845285,406386845285,"Nov 23, 2025",$17.97,$0.00,,,Fixed price,
,,"Nov 11, 2025",$23.95,$0.00,,,Fixed price,
,,"Nov 12, 2025",$18.46,$0.00,,,Fixed price,
[Removed] Item 389040594455,389040594455,"Oct 11, 2025",$85.49,$0.00,,,Fixed price,
1883 GSA COA Certificate Original Card for CC Morgan Silver Dollar (1card),363520259372,"Apr 3, 2026",$10.21,$0.00,,,Fixed price,https://www.ebay.com/itm/363520259372
[Removed] Item 406300137250,406300137250,"Oct 21, 2025",$26.56,$0.00,,,Fixed price,
,,"Nov 10, 2025",$21.82,$0.00,,,Fixed price,
,,"Nov 7, 2025",$22.86,$0.00,,,Fixed price,
1883-CC GSA Morgan Silver Dollar - Gem Unc w/ Box and COA,124080520048,"Feb 4, 2026",$331.76,$0.00,,,Fixed price,https://www.ebay.com/itm/124080520048
VG/F 1883-S Morgan Silver Dollar (1 coin),127039413729,"Mar 7, 2026",$58.68,$0.00,,,Fixed price,https://www.ebay.com/itm/127039413729
[Removed] Item 286862666633,286862666633,"Nov 22, 2025",$22.63,$0.00,,,Fixed price,
1883 US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,305720201771,"Mar 31, 2026",$102.00,$0.00,,,Fixed price,https://www.ebay.com/itm/305720201771
,,"Nov 15, 2025",$3.73,$0.00,,,Fixed price,
AU+ 1883-O Morgan Silver Dollar (1 coin),365631496377,"Dec 27, 2025",$53.60,$23.30,,,Fixed price,https://www.ebay.com/itm/365631496377
,,"Nov 8, 2025",$17.32,$0.00,,,Fixed price,
1878-1883 S Scan Francisco Morgan Silver Dollar Uncirculated $1 Coins.,406694490130,"Apr 4, 2026",$65.39,$0.00,,,Fixed price,https://www.ebay.com/itm/406694490130
,,"Oct 15, 2025",$19.75,$0.00,,,Fixed price,
GSA Black Box & COA for 1883-CC Morgan Silver Dollar - Empty No Carson City Coin,116603212877,"Apr 10, 2026",$18.35,$0.00,,,Fixed price,https://www.ebay.com/itm/116603212877,102
,,"Nov 14, 2025",$17.88,$0.00,,,Fixed price,,149
,,"Oct 21, 2025",$22.15,$0.00,,,Fixed price,,60
,,"Nov 3, 2025",$19.51,$0.00,,,Fixed price,,35
,,"Nov 12, 2025",$21.18,$7.00,,,Fixed price,,44
* 1883-CC * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164709651226,"Apr 10, 2026",$504.62,$32.70,,,Fixed price,https://www.ebay.com/itm/164709651226,24
[Removed] Item 397139904515,397139904515,"Nov 23, 2025",$19.59,$0.00,,,Fixed price,,29
1883 GSA COA Certificate Original Card for CC Morgan Silver Dollar (1card),363520259372,"Apr 10, 2026",$10.32,$0.00,,,Fixed price,https://www.ebay.com/itm/363520259372,24
,,"Nov 12, 2025",$18.40,$0.00,,,Fixed price,,24
,,"Nov 10, 2025",$21.81,$0.00,,,Fixed price,,28
VG/F 1883-S Morgan Silver Dollar (1 coin),127039413729,"Mar 7, 2026",$59.09,$0.00,,,Fixed price,https://www.ebay.com/itm/127039413729,32
[Removed] Item 127417049771,127417049771,"Nov 15, 2025",$21.80,$0.00,,,Fixed price,,12
[Removed] Item 286862666633,286862666633,"Nov 22, 2025",$22.59,$0.00,,,Fixed price,,28
,,"Nov 8, 2025",$15.40,$0.00,,,Fixed price,,64
,,"Nov 17, 2025",$25.35,$0.00,,,Fixed price,,11
,,"Nov 25, 2025",$22.87,$0.00,,,Fixed price,,17
[Removed] Item 406268855106,406268855106,"Nov 22, 2025",$19.24,$0.00,,,Fixed price,,20
Morgan Silver Dollars #1: 1878-1883 - Official Whitman Coin Folder,204657976114,"Apr 1, 2026",$7.37,$5.95,,,Fixed price,https://www.ebay.com/itm/204657976114,10
Whitman Morgan Silver Dollars Coin Folder Number 1 1878-1883 Album Book 9082,293918095492,"Dec 30, 2025",$10.35,$0.00,,,Fixed price,https://www.ebay.com/itm/293918095492,11
,,"Nov 10, 2025",$20.60,$0.00,,,Fixed price,,17
AU+ 1883-O Morgan Silver Dollar (1 coin),365631496377,"Dec 27, 2025",$54.47,$23.30,,,Fixed price,https://www.ebay.com/itm/365631496377,13
(1) BU/Unc 1883-O Morgan Silver Dollar - New Orleans Mint - Uncirculated,133223395673,"Jan 12, 2026",$71.68,$17.11,,,Fixed price,https://www.ebay.com/itm/133223395673,10
* 1883-O * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,164716490018,"Feb 22, 2026",$144.29,$0.00,,,Fixed price,https://www.ebay.com/itm/164716490018,9
1883-O Morgan Silver Dollar MS63 NGC,293197834041,"Jan 24, 2026",$94.00,$0.00,,,Fixed price,https://www.ebay.com/itm/293197834041,10
[Removed] Item 317381694755,317381694755,"Nov 21, 2025",$19.59,$35.00,,,Fixed price,,13
,,"Nov 15, 2025",$26.13,$0.00,,,Fixed price,,9
,,"Nov 17, 2025",$83.15,$0.00,,,Fixed price,,9
,,"Nov 22, 2025",$89.95,$0.00,,,Fixed price,,10
,,"Nov 12, 2025",$25.90,$0.00,,,Fixed price,,18
[Removed] Item 177599072828,177599072828,"Nov 24, 2025",$16.94,$0.00,,,Fixed price,,18
1883-CC Morgan Dollar GSA Hoard Black Box & COA | No Coin,277712008492,"Mar 24, 2026",$13.43,$5.71,,,Fixed price,https://www.ebay.com/itm/277712008492,11
1883CC GSA BOX AND CARD FOR A MORGAN SILVER DOLLAR COIN 1883 CC BOX & CARD ONLY,351968149213,"Mar 15, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/351968149213,8
,,"Nov 18, 2025",$20.18,$0.00,,,Fixed price,,8
,,"Nov 7, 2025",$20.99,$0.00,,,Fixed price,,10
,,"Nov 12, 2025",$19.60,$0.00,,,Fixed price,,11
* 1883-CC DMPL * SOLID+ GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG,166125247341,"Mar 29, 2026",$692.81,$0.00,,,Fixed price,https://www.ebay.com/itm/166125247341,7
1883-O $1 Morgan Silver Dollar PCGS MS63 Blue Label,177888225192,"Feb 28, 2026",$106.90,$0.00,,,Fixed price,https://www.ebay.com/itm/177888225192,7
1883 O Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,196146847529,"Feb 15, 2026",$126.96,$0.00,,,Fixed price,https://www.ebay.com/itm/196146847529,9
,,"Oct 17, 2025",$19.96,$0.00,,,Fixed price,,12
,,"Nov 9, 2025",$30.42,$5.00,,,Fixed price,,7
VG/F 1883-O Morgan Silver Dollar (1 coin),135875430308,"Jan 6, 2026",$55.12,$0.00,,,Fixed price,https://www.ebay.com/itm/135875430308,6
AU+ 1883 (P) Morgan Silver Dollar (1 coin),136448293646,"Jan 2, 2026",$57.13,$0.00,,,Fixed price,https://www.ebay.com/itm/136448293646,6
