Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1949-1950 US Commemorative Year Sets (Complete) #981-997 MNH FREE SHIPPING,325635398397,"Apr 2, 2026",$3.19,$0.00,,,Fixed price,https://www.ebay.com/itm/325635398397
1945 US Commemorative Year Set (Complete) #927-938 MNH FREE SHIPPING,285236857334,"Apr 2, 2026",$1.95,$0.00,,,Fixed price,https://www.ebay.com/itm/285236857334
"1950 US Commemorative Year Set (Complete) #987-997, MNH FREE SHIPPING",285944481760,"Apr 4, 2026",$1.19,$0.00,,,Fixed price,https://www.ebay.com/itm/285944481760
US Airmail Airpost Set of 10 C25-C31 C32 C33 & C39 DC-4 Skymaster Twin Motor MNH,167147881226,"Apr 1, 2026",$9.09,$2.34,,,Fixed price,https://www.ebay.com/itm/167147881226
1944 US Commemorative Year Set (Complete) #922-926 MNH FREE SHIPPING,287182408758,"Mar 27, 2026",$1.50,$0.00,,,Fixed price,https://www.ebay.com/itm/287182408758
US - Overrun Countries Issue - Complete Mint Set - Scott 909-921 - Unused - MNH.,188161249953,"Apr 1, 2026",$2.50,$0.92,,,Fixed price,https://www.ebay.com/itm/188161249953
1949 US Commemorative Year Set (Complete) #981-986 MNH FREE SHIPPING,285622626513,"Mar 27, 2026",$1.10,$0.00,,,Fixed price,https://www.ebay.com/itm/285622626513
1948 US Commemorative Year Set (Complete) #953-980 MNH FREE SHIPPING,286168575182,"Apr 2, 2026",$2.74,$0.00,,,Fixed price,https://www.ebay.com/itm/286168575182
"US #909-921 set 1943-44 Overrun Countries Complete set MNH, Free Shipping!",286747706787,"Mar 28, 2026",$2.50,$0.00,,,Fixed price,https://www.ebay.com/itm/286747706787
"US 1946 Complete Commemorative Year Set of 7 - SC 933, 939-944 - MNH",160579670652,"Mar 18, 2026",$4.19,$0.00,,,Fixed price,https://www.ebay.com/itm/160579670652
"US 1941-1942 Complete Commemorative Year Set of 4 w/ China Resistance 906, MNH",162479891791,"Mar 14, 2026",$4.95,$1.99,,,Fixed price,https://www.ebay.com/itm/162479891791
US 1943-1944 Commemorative Year Set w/ Overrun Countries 909-921 Budget set,164908404442,"Mar 29, 2026",$4.19,$0.00,,,Fixed price,https://www.ebay.com/itm/164908404442
"1946-1947 US Commemorative Year Sets #939-947, 949-952 MNH FREE SHIPPING",285457667397,"Apr 2, 2026",$2.50,$0.00,,,Fixed price,https://www.ebay.com/itm/285457667397
"1982 US Commemorative Year Set #1950-52, 2003-2004, 2006-30 MNH FREE SHIPPING",286411852364,"Apr 2, 2026",$7.75,$0.00,,,Fixed price,https://www.ebay.com/itm/286411852364
US 1943-4 Overrun Countries Complete Set of MNH Singles Sc# 909-921,297894612717,"Mar 12, 2026",$2.00,$0.74,,,Fixed price,https://www.ebay.com/itm/297894612717
"1944 US Mint NH Year Set #922 - 926 Complete Set of 5 Movies, Trains, Steamboat",355229965809,"Mar 22, 2026",$0.99,$1.12,,,Fixed price,https://www.ebay.com/itm/355229965809
"US 1945 Complete Commemorative Year Set of 11 - FDR, Army & Navy - MNH",380335650414,"Apr 3, 2026",$4.16,$0.00,,,Fixed price,https://www.ebay.com/itm/380335650414
1950 P US Silver Mint Set Brilliant Uncirculated!,384450123538,"Mar 23, 2026",$179.99,$5.00,,,Fixed price,https://www.ebay.com/itm/384450123538
"STEVIE WONDER ""SONGS /KEY/LIFE"" NM+ ORGL US 2-LP SET COMPLETE w/7"" REC & BOOK",117084245527,"Mar 14, 2026",$26.59,$5.95,,,Fixed price,https://www.ebay.com/itm/117084245527
PREISER NEW #10796 HO 1/87 Set of Six US Sheriff Deputies Police,127718661853,"Mar 20, 2026",$29.99,$4.90,,,Fixed price,https://www.ebay.com/itm/127718661853
US - Overrun Countries Issues-Complete Mint Set - Scott 909-921 - Unused - MNH.,127746235385,"Mar 20, 2026",$2.25,$0.00,,,Auction,https://www.ebay.com/itm/127746235385
PEARL JAM Bridges 1991 - 1995 4XCD Box Set Used! EARLY LIVE BOOTLEG RECORDINGS,136049690729,"Mar 13, 2026",$260.99,$0.00,,,Fixed price,https://www.ebay.com/itm/136049690729
MAHLER HAMPSON Symphonie No.6 2XLP Box Set Used! 1989 Deutsche Grammophon DE,137160166704,"Mar 29, 2026",$500.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137160166704
COUNT BASIE Complete Clef/Verve Fifties Sessions 8XCD Box Used! 2005 Mosaic,137163093280,"Mar 29, 2026",$85.99,$0.00,,,Fixed price,https://www.ebay.com/itm/137163093280
GEORGE LEWIS Complete Blue Note Recordings 3XCD Box Used! 1990 Mosaic MONO,137163100218,"Mar 24, 2026",$70.99,$0.00,,,Fixed price,https://www.ebay.com/itm/137163100218
Alice Cooper - The Life and Crimes of 4xCD Box Set (Original US Pressing)!,147192446279,"Mar 9, 2026",$39.99,$8.00,,,Fixed price,https://www.ebay.com/itm/147192446279
Magic Moments: The Best of '50s Pop,154458899477,"Mar 31, 2026",$12.75,$4.63,,,Fixed price,https://www.ebay.com/itm/154458899477
