Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
VF 1894-O Morgan Silver Dollar (1 coin),127039416377,"Apr 7, 2026",$102.51,$0.00,,,Fixed price,https://www.ebay.com/itm/127039416377
VG/F 1894-O Morgan Silver Dollar (1 coin),126671180601,"Jan 21, 2026",$76.34,$0.00,,,Fixed price,https://www.ebay.com/itm/126671180601
,,"Oct 30, 2025",$64.00,$4.95,,,Fixed price,
,,"Oct 29, 2025",$48.00,$4.00,,,Fixed price,
,,"Dec 20, 2025",$43.15,$5.95,,,Fixed price,
1894-O Morgan Dollar CACG XF-45 CAC - Some Luster Remains!,116751964058,"Jan 26, 2026",$225.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116751964058
,,"Oct 17, 2025",$140.00,$0.00,,,Fixed price,
,,"Oct 29, 2025",$45.00,$4.76,,,Auction,
,,"Oct 27, 2025",$42.20,$4.87,,,Auction,
,,"Oct 30, 2025",$70.00,$8.40,,,Fixed price,
,,"Nov 8, 2025",$35.00,$5.95,,,Auction,
,,"Nov 12, 2025",$64.95,$5.00,,,Auction,
,,"Nov 13, 2025",$75.00,$0.00,,,Fixed price,
,,"Nov 18, 2025",$50.00,$4.76,,,Auction,
,,"Dec 4, 2025",$48.00,$5.95,,,Auction,
,,"Nov 29, 2025",$61.03,$4.00,,,Auction,
,,"Nov 28, 2025",$58.00,$0.00,,,Fixed price,
,,"Dec 6, 2025",$86.00,$0.00,,,Auction,
,,"Dec 7, 2025",$35.00,$4.99,,,Auction,
,,"Dec 8, 2025",$69.00,$4.00,,,Auction,
,,"Dec 8, 2025",$152.50,$7.49,,,Auction,
,,"Dec 16, 2025",$133.50,$3.84,,,Auction,
,,"Dec 16, 2025",$83.00,$2.37,,,Auction,
,,"Dec 30, 2025",$541.20,$0.00,,,Auction,
1894 O Morgan Silver Dollar NGC AU Details Freshly Graded,116954856090,"Mar 1, 2026",$285.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116954856090
1894 O Morgan Silver Dollar NGC AU 50 Freshly Graded,116954859750,"Jan 16, 2026",$300.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116954859750
"1894-O Morgan Dollar, Uncertified, NR.",116958089393,"Jan 10, 2026",$77.50,$4.00,,,Auction,https://www.ebay.com/itm/116958089393
1894-O New Orleans Mint Silver Morgan Dollar VG Very Good Condition Nice 010603,116969555612,"Jan 11, 2026",$56.00,$5.00,,,Auction,https://www.ebay.com/itm/116969555612
1894-O Morgan silver dollar. XF-AU with decent luster. #nrd1,116969745782,"Jan 27, 2026",$147.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116969745782
1894-O Morgan Silver Dollar New Orleans,116997616193,"Jan 30, 2026",$81.00,$5.07,,,Auction,https://www.ebay.com/itm/116997616193
1894-O New Orleans Mint Silver Morgan Dollar,117017332522,"Feb 3, 2026",$60.00,$4.00,,,Auction,https://www.ebay.com/itm/117017332522
1894-O Morgan Silver Dollar US Coin Key Date Fine,117047119947,"Feb 26, 2026",$61.00,$8.75,,,Auction,https://www.ebay.com/itm/117047119947
"1894-O Morgan silver dollar. XF-AU, reverse heavily toned. #ar2",117102321723,"Mar 29, 2026",$109.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117102321723
EF 1894-O MORGAN SILVER DOLLAR A NICE COLLECTORS COIN M-1718,117104578848,"Mar 27, 2026",$89.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117104578848
,,"Dec 1, 2025",$229.00,$0.00,,,Fixed price,
,,"Dec 3, 2025",$212.00,$0.00,,,Fixed price,
,,"Dec 27, 2025",$325.00,$0.00,,,Fixed price,
,,"Dec 30, 2025",$104.99,$4.25,,,Fixed price,
,,"Nov 28, 2025",$30.70,$4.69,,,Fixed price,
1894 O Morgan $1 Silver Dollar. NGC VF 20,127141164492,"Feb 28, 2026",$129.95,$5.40,,,Fixed price,https://www.ebay.com/itm/127141164492
1894-O Morgan Silver Dollar AU Details,127182876398,"Jan 25, 2026",$175.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127182876398
,,"Jan 7, 2026",$216.00,$0.00,,,Fixed price,
,,"Dec 5, 2025",$46.00,$0.00,,,Fixed price,
,,"Nov 27, 2025",$75.00,$0.00,,,Fixed price,
1894-O Morgan Dollar ~ Extra Fine XF/EF ~ 90% Silver ~ Semi-Key (ZMD910),127394226234,"Dec 7, 2025",$94.98,$3.98,,,Fixed price,https://www.ebay.com/itm/127394226234
,,"Oct 15, 2025",$47.00,$0.00,,,Auction,
,,"Jan 8, 2026",$279.00,$0.00,,,Fixed price,
VG/F 1894-O Morgan Silver Dollar (1 coin),126671180601,"Jan 21, 2026",$77.19,$0.00,,,Fixed price,https://www.ebay.com/itm/126671180601,9
,,"Jan 10, 2026",$77.50,$4.00,,,Auction,,1
,,"Jan 11, 2026",$56.00,$5.00,,,Auction,,1
"Morgan Silver Dollar Lot Of 4! No Reserve! 1903-P, 1900-O, 1891-S And 1894-O",117117115751,"Apr 2, 2026",$217.50,$5.39,,,Auction,https://www.ebay.com/itm/117117115751,1
"1894-O Morgan Dollar, Uncertified, NR",117127432472,"Apr 11, 2026",$58.00,$4.95,,,Auction,https://www.ebay.com/itm/117127432472,1
"1894 O Morgan Silver Dollar US Postal Commemorative Stamp Set, Rare 15c Stamp",126358561926,"Feb 1, 2026",$97.85,$4.95,,,Fixed price,https://www.ebay.com/itm/126358561926,1
"1894 O Morgan Silver Dollar US Postal Commemorative Stamp Set, Rare 15/19c Stamp",127380021467,"Feb 18, 2026",$98.95,$4.95,,,Fixed price,https://www.ebay.com/itm/127380021467,1
,,"Oct 21, 2025",$99.99,$7.50,,,Auction,,1
,,"Dec 16, 2025",$375.00,$0.00,,,Fixed price,,1
,,"Nov 15, 2025",$475.00,$0.00,,,Fixed price,,1
,,"Jan 3, 2026",$324.99,$0.00,,,Fixed price,,1
,,"Oct 22, 2025",$43.00,$0.00,,,Auction,,1
,,"Dec 9, 2025",$89.99,$0.00,,,Fixed price,,1
,,"Oct 26, 2025",$81.00,$0.00,,,Auction,,1
,,"Oct 21, 2025",$239.95,$0.00,,,Fixed price,,1
,,"Nov 2, 2025",$42.00,$0.00,,,Auction,,1
,,"Nov 12, 2025",$49.95,$5.25,,,Fixed price,,1
,,"Jan 2, 2026",$68.00,$0.00,,,Fixed price,,1
,,"Nov 20, 2025",$40.43,$5.99,,,Fixed price,,1
,,"Nov 24, 2025",$50.00,$0.00,,,Auction,,1
,,"Nov 27, 2025",$42.00,$0.00,,,Auction,,1
,,"Nov 30, 2025",$37.00,$0.00,,,Auction,,1
,,"Dec 2, 2025",$40.79,$0.00,,,Auction,,1
,,"Dec 26, 2025",$220.00,$0.00,,,Fixed price,,1
,,"Dec 8, 2025",$57.95,$0.00,,,Fixed price,,1
,,"Jan 1, 2026",$308.00,$4.76,,,Fixed price,,1
,,"Dec 25, 2025",$185.00,$0.00,,,Fixed price,,1
,,"Dec 11, 2025",$100.00,$0.00,,,Fixed price,,1
,,"Dec 17, 2025",$110.00,$5.00,,,Fixed price,,1
,,"Dec 21, 2025",$52.00,$9.25,,,Auction,,1
,,"Dec 26, 2025",$76.00,$0.00,,,Fixed price,,1
,,"Dec 29, 2025",$66.00,$0.00,,,Auction,,1
,,"Jan 3, 2026",$74.95,$0.00,,,Auction,,1
1894-O Morgan Silver One $1 Dollar - New Orleans R1717,127595256441,"Jan 26, 2026",$99.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127595256441,1
,,"Jan 2, 2026",$265.00,$5.00,,,Fixed price,,1
,,"Jan 10, 2026",$60.00,$0.00,,,Auction,,1
1894 O Morgan Silver Dollar NGC XF45,127611990668,"Jan 16, 2026",$175.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127611990668,1
1894-O $1 Morgan Silver Dollar Coin,127613969552,"Feb 6, 2026",$85.00,$3.07,,,Fixed price,https://www.ebay.com/itm/127613969552,1
1881-S 1894-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *807,127619850376,"Jan 17, 2026",$150.50,$0.00,,,Auction,https://www.ebay.com/itm/127619850376,1
1894-O 1891 Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *805,127619890565,"Jan 17, 2026",$160.00,$0.00,,,Auction,https://www.ebay.com/itm/127619890565,1
"lot of 5 Morgan silver dollars, 1890 S, 1894 0, 1896 O, 1900, 1902",127621701147,"Jan 18, 2026",$322.50,$5.65,,,Auction,https://www.ebay.com/itm/127621701147,1
"1892-S, 1894-O & 1896-S Morgan Silver Dollars NGC VG8, F12, F15",127629998581,"Jan 17, 2026",$275.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127629998581,1
VG/F 1894-O Morgan Silver Dollar (1 coin) *7427,127633566668,"Jan 26, 2026",$80.00,$0.00,,,Auction,https://www.ebay.com/itm/127633566668,1
Great 1894-O Morgan silver dollar - excellent high grade AU58 details - cleaned,127643413539,"Jan 31, 2026",$270.00,$8.50,,,Auction,https://www.ebay.com/itm/127643413539,1
Lot of 3 Morgan Silver Dollars With 1894-O G-F Details,127644934858,"Jan 25, 2026",$203.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127644934858,1
