Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
XF 1891-S Morgan Silver Dollar (1 coin),365631496252,"Dec 17, 2025",$52.35,$0.00,,,Fixed price,https://www.ebay.com/itm/365631496252
AU+ 1891-S Morgan Silver Dollar (1 coin),134845188575,"Mar 1, 2026",$88.82,$0.00,,,Fixed price,https://www.ebay.com/itm/134845188575
VG/F 1891-S Morgan Silver Dollar (1 coin),136592463755,"Jan 2, 2026",$55.76,$0.00,,,Fixed price,https://www.ebay.com/itm/136592463755
VF 1891-S Morgan Silver Dollar (1 coin),126671185338,"Nov 21, 2025",$47.49,$0.00,,,Fixed price,https://www.ebay.com/itm/126671185338
UNC/MS 1891-S MORGAN SILVER DOLLAR BLAST WHITE DETAIL COLLECTOR GRADE COIN M1441,177824229224,"Feb 11, 2026",$87.00,$5.25,,,Fixed price,https://www.ebay.com/itm/177824229224
1891 S Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,397306431292,"Jan 13, 2026",$245.10,$0.00,,,Fixed price,https://www.ebay.com/itm/397306431292
1891 S MORGAN SILVER DOLLAR KEY DATE,115402061857,"Jan 14, 2026",$59.95,$6.95,,,Fixed price,https://www.ebay.com/itm/115402061857
,,"Nov 5, 2025",$389.00,$0.00,,,Fixed price,
1891-S $1 MORGAN SILVER ONE DOLLAR Almost Uncirculated Y-406,116625556740,"Jan 13, 2026",$69.00,$7.90,,,Fixed price,https://www.ebay.com/itm/116625556740
1891-S Morgan Dollar CACG AU-55 CAC,116740633305,"Mar 13, 2026",$134.19,$0.00,,,Fixed price,https://www.ebay.com/itm/116740633305
1881-S Silver Morgan Dollar ICG MS65 (ATTRACTIVE LUSTER),116749449820,"Jan 26, 2026",$129.00,$3.85,,,Fixed price,https://www.ebay.com/itm/116749449820
,,"Oct 18, 2025",$43.54,$0.00,,,Auction,
,,"Oct 19, 2025",$49.99,$5.99,,,Auction,
,,"Jan 5, 2026",$70.00,$5.00,,,Fixed price,
,,"Oct 25, 2025",$54.00,$4.90,,,Auction,
,,"Oct 30, 2025",$50.00,$5.95,,,Auction,
,,"Nov 7, 2025",$32.00,$5.00,,,Fixed price,
,,"Nov 17, 2025",$140.00,$6.37,,,Auction,
,,"Dec 4, 2025",$45.95,$0.00,,,Fixed price,
,,"Nov 30, 2025",$46.55,$5.00,,,Auction,
,,"Nov 30, 2025",$54.57,$3.95,,,Auction,
,,"Dec 3, 2025",$63.00,$3.63,,,Auction,
,,"Dec 15, 2025",$96.00,$4.99,,,Auction,
1891 S morgan dollar NGC MS60 ~,116920056778,"Jan 30, 2026",$145.00,$5.07,,,Fixed price,https://www.ebay.com/itm/116920056778
,,"Jan 2, 2026",$62.95,$4.95,,,Fixed price,
,,"Jan 1, 2026",$75.00,$4.95,,,Fixed price,
1891 S Morgan Silver Dollar Circulated,116988450679,"Jan 17, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116988450679
"1891-S silver U.S. MORGAN DOLLAR, NGC AU58. #km009",117004257312,"Jan 27, 2026",$89.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117004257312
1891-S Morgan Silver Dollar AU+ (cn16072),117028818657,"Mar 16, 2026",$90.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117028818657
1891 S Morgan Silver Dollar ~ CIRCULATED & BETTER DATE ~ 90% Silver $1,117054234640,"Feb 28, 2026",$81.00,$6.50,,,Auction,https://www.ebay.com/itm/117054234640
1891 MORGAN SILVER DOLLAR COIN SILVER HIGH GRADE 1891-S,117056108396,"Mar 3, 2026",$65.00,$4.14,,,Auction,https://www.ebay.com/itm/117056108396
AU/UNC. 1891-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COIN M-1619,117070570366,"Mar 5, 2026",$89.00,$2.16,,,Fixed price,https://www.ebay.com/itm/117070570366
MORGAN SILVER DOLLAR 1891 S FROSTY BU++ KEY BETTER DATE NICE COIN,117071428347,"Mar 12, 2026",$122.32,$5.95,,,Auction,https://www.ebay.com/itm/117071428347
AU 1891-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COIN M-1680,117086442873,"Mar 15, 2026",$98.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117086442873
1891-S $1 MORGAN SILVER DOLLAR ANACS MS-63 GREAT DETAIL 032608,117110315047,"Mar 26, 2026",$295.00,$7.95,,,Fixed price,https://www.ebay.com/itm/117110315047
1891-S Morgan Silver Dollar MS++ Uncirculated,117114770918,"Apr 4, 2026",$94.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117114770918
1891-S Morgan Silver Dollar AU53 ICG *3405,126846943611,"Jan 13, 2026",$76.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126846943611
1891-S Morgan Silver Dollar AU55 ICG *3402,126846948780,"Jan 29, 2026",$86.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126846948780
1891-S Morgan Silver Dollar MS62 ICG *3309,126846952222,"Mar 4, 2026",$160.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126846952222
1891-S Morgan Silver Dollar AU55 ICG Tone *3655,126858107775,"Feb 8, 2026",$85.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126858107775
,,"Dec 17, 2025",$54.99,$0.00,,,Fixed price,
1891-S Morgan Silver Dollar MS64+ ICG *0730,127151417422,"Jan 24, 2026",$800.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127151417422
1891-S MORGAN SILVER DOLLAR AU/UNC,127201968568,"Mar 13, 2026",$115.00,$9.95,,,Fixed price,https://www.ebay.com/itm/127201968568
,,"Jan 6, 2026",$64.80,$0.00,,,Fixed price,
1891-S Choice BU Morgan Silver Dollar,127309110254,"Jan 19, 2026",$110.69,$0.00,,,Fixed price,https://www.ebay.com/itm/127309110254
,,"Nov 22, 2025",$315.00,$0.00,,,Fixed price,
,,"Nov 26, 2025",$128.99,$0.00,,,Fixed price,
,,"Oct 13, 2025",$46.00,$0.00,,,Auction,
1891-S $1 Morgan Silver Dollar NGC AU58,127436809767,"Feb 8, 2026",$124.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127436809767
XF 1891-S Morgan Silver Dollar (1 coin),365631496252,"Dec 17, 2025",$52.30,$0.00,,,Fixed price,https://www.ebay.com/itm/365631496252,12
AU+ 1891-S Morgan Silver Dollar (1 coin),134845188575,"Mar 1, 2026",$89.78,$0.00,,,Fixed price,https://www.ebay.com/itm/134845188575,5
VF 1891-S Morgan Silver Dollar (1 coin),126671185338,"Nov 21, 2025",$47.82,$0.00,,,Fixed price,https://www.ebay.com/itm/126671185338,3
,,"Jan 13, 2026",$69.00,$7.90,,,Fixed price,,1
"Morgan Silver Dollar Lot Of 4! No Reserve! 1903-P, 1900-O, 1891-S And 1894-O",117117115751,"Apr 2, 2026",$217.50,$5.39,,,Auction,https://www.ebay.com/itm/117117115751,1
VF 1892-S MORGAN SILVER DOLLAR BEAUTIFULLY TONED COIN M-1809,117126197112,"Apr 10, 2026",$95.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117126197112,1
,,"Jan 13, 2026",$76.00,$0.00,,,Fixed price,,1
,,"Oct 24, 2025",$46.00,$0.00,,,Auction,,1
,,"Dec 18, 2025",$85.00,$0.00,,,Fixed price,,1
,,"Oct 31, 2025",$48.00,$0.00,,,Auction,,1
,,"Dec 29, 2025",$59.99,$0.00,,,Fixed price,,1
,,"Nov 3, 2025",$33.00,$4.97,,,Auction,,1
,,"Nov 29, 2025",$91.00,$1.17,,,Auction,,1
1891-S Morgan Silver Dollar AU58 NGC *7199,127461608188,"Jan 27, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127461608188,1
,,"Nov 6, 2025",$102.50,$1.79,,,Auction,,1
,,"Jan 13, 2026",$80.00,$4.65,,,Fixed price,,1
,,"Jan 10, 2026",$110.00,$4.95,,,Fixed price,,1
,,"Nov 12, 2025",$52.00,$0.00,,,Auction,,1
,,"Nov 12, 2025",$135.00,$7.50,,,Fixed price,,1
,,"Nov 17, 2025",$46.55,$0.00,,,Auction,,1
,,"Nov 25, 2025",$46.00,$0.00,,,Auction,,1
,,"Dec 1, 2025",$180.00,$5.55,,,Fixed price,,1
,,"Dec 6, 2025",$44.88,$0.00,,,Auction,,1
,,"Dec 14, 2025",$66.00,$4.65,,,Auction,,1
,,"Dec 12, 2025",$51.05,$0.00,,,Auction,,1
,,"Dec 13, 2025",$47.49,$0.00,,,Auction,,1
,,"Dec 24, 2025",$59.00,$0.76,,,Auction,,1
,,"Dec 24, 2025",$55.55,$0.00,,,Auction,,1
,,"Dec 23, 2025",$66.01,$0.00,,,Auction,,1
,,"Dec 30, 2025",$85.00,$0.00,,,Auction,,1
,,"Jan 6, 2026",$61.89,$0.00,,,Auction,,1
AU+ 1891-S Morgan Silver Dollar (1 coin) *5300,127614272378,"Jan 16, 2026",$85.95,$0.00,,,Auction,https://www.ebay.com/itm/127614272378,1
Early - 1891-S Morgan Silver Dollar - 90% US Coin *221,127614309307,"Jan 14, 2026",$74.00,$0.00,,,Auction,https://www.ebay.com/itm/127614309307,1
1891-S Morgan Silver Dollar 90% American Coin #370,127618088502,"Jan 18, 2026",$77.00,$3.77,,,Auction,https://www.ebay.com/itm/127618088502,1
1891-S Morgan Dollar,127641209071,"Jan 30, 2026",$77.00,$4.95,,,Auction,https://www.ebay.com/itm/127641209071,1
1879-S 1891 Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *675,127641974898,"Jan 28, 2026",$160.50,$0.00,,,Auction,https://www.ebay.com/itm/127641974898,1
"1879-S And 1891-O Morgan Silver Dollars, Nice Coins, Awesome Dates! #46",127643063841,"Jan 31, 2026",$123.50,$8.95,,,Auction,https://www.ebay.com/itm/127643063841,1
"lot of 5 Morgan silver dollars, 1880 S, 1882 O, 1889 O, 1891 O, 1891 S",127653430756,"Feb 3, 2026",$330.00,$5.75,,,Auction,https://www.ebay.com/itm/127653430756,1
1891 - S Morgan Silver Dollar.,127656186691,"Jan 30, 2026",$50.00,$8.75,,,Fixed price,https://www.ebay.com/itm/127656186691,1
Better 1891-S Morgan Silver Dollar - 90% US Coin - Nice Coin *563,127663750187,"Feb 8, 2026",$75.00,$0.00,,,Auction,https://www.ebay.com/itm/127663750187,1
1891-S Morgan Silver Dollar Beautiful AU/BU Coin Rare Date,127667929881,"Feb 8, 2026",$109.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127667929881,1
US Coin 1891 S Morgan Silver Dollar Prooflike BU NO RESERVE!,127669440203,"Feb 11, 2026",$118.20,$1.00,,,Auction,https://www.ebay.com/itm/127669440203,1
Early - 1891-S Morgan Silver Dollar - 90% US Coin *535,127673710958,"Feb 13, 2026",$77.00,$0.00,,,Auction,https://www.ebay.com/itm/127673710958,1
Better 1891-S Morgan Silver Dollar - 90% US Coin - Nice Coin *598,127679667809,"Feb 16, 2026",$70.00,$0.00,,,Auction,https://www.ebay.com/itm/127679667809,1
"1891-s Silver Morgan Dollar, Nice Grade",127688467258,"Feb 25, 2026",$70.00,$5.29,,,Fixed price,https://www.ebay.com/itm/127688467258,1
"1891 S Morgan Silver Dollar, Choice to Gem Uncirculated.",127688588627,"Feb 24, 2026",$89.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127688588627,1
1891-S Better Date Morgan Silver Dollar receive coin pictured #3890,127694428259,"Feb 28, 2026",$129.95,$0.00,,,Fixed price,https://www.ebay.com/itm/127694428259,1
1891 - S Morgan Silver Dollar S$1 MS 61 - NGC,127702744549,"Mar 8, 2026",$110.02,$7.00,,,Auction,https://www.ebay.com/itm/127702744549,1
Morgan Silver Dollars Lot Of 10 Better Dates 1879-O 1901 S 1891 Mix (L725,127716898581,"Mar 6, 2026",$610.00,$6.68,,,Auction,https://www.ebay.com/itm/127716898581,1
Early - 1891-S Morgan Silver Dollar - 90% US Coin *582,127746542958,"Mar 20, 2026",$71.00,$0.00,,,Auction,https://www.ebay.com/itm/127746542958,1
Early - 1891-S Morgan Silver Dollar - 90% US Coin *594,127746653289,"Mar 20, 2026",$74.00,$0.00,,,Auction,https://www.ebay.com/itm/127746653289,1
