Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 365940950755,365940950755,"Nov 15, 2025",$25.21,$4.99,,,Fixed price,
[Removed] Item 177495808860,177495808860,"Oct 22, 2025",$29.99,$4.99,,,Fixed price,
VG/F 1886-S Morgan Silver Dollar (1 coin),127039414235,"Dec 4, 2025",$69.50,$0.00,,,Fixed price,https://www.ebay.com/itm/127039414235
VF 1886-S Morgan Silver Dollar (1 coin),365117525606,"Oct 19, 2025",$113.98,$0.00,,,Fixed price,https://www.ebay.com/itm/365117525606
,,"Dec 28, 2025",$59.95,$0.00,,,Fixed price,
,,"Dec 4, 2025",$129.99,$8.99,,,Fixed price,
,,"Oct 10, 2025",$156.75,$0.00,,,Fixed price,
,,"Oct 13, 2025",$199.95,$4.50,,,Fixed price,
,,"Dec 1, 2025",$334.38,$5.37,,,Fixed price,
,,"Dec 21, 2025",$575.00,$0.00,,,Fixed price,
,,"Oct 15, 2025",$199.00,$0.00,,,Fixed price,
,,"Nov 26, 2025",$339.00,$0.00,,,Fixed price,
,,"Nov 18, 2025",$490.00,$0.00,,,Fixed price,
,,"Oct 23, 2025",$100.00,$8.40,,,Fixed price,
,,"Nov 7, 2025",$57.95,$5.25,,,Fixed price,
,,"Dec 7, 2025",$175.50,$0.00,,,Auction,
,,"Dec 20, 2025",$75.00,$25.24,,,Auction,
,,"Dec 27, 2025",$128.50,$0.00,,,Auction,
,,"Dec 27, 2025",$79.00,$4.99,,,Auction,
,,"Dec 25, 2025","$1,259.10",$0.00,,,Fixed price,
1886-S Morgan Silver Dollar NGC VF20 Superb Eye Appeal Nice Strike 012554,117002914965,"Jan 26, 2026",$99.95,$7.95,,,Fixed price,https://www.ebay.com/itm/117002914965
"1886-S Morgan Dollar, Uncertified, NR",117021031859,"Feb 14, 2026",$193.50,$2.59,,,Auction,https://www.ebay.com/itm/117021031859
1886 Philadelphia Morgan Liberty Head ONE DOLLAR S$1 USD USA 90% Silver Coin,117058773029,"Mar 3, 2026",$61.00,$7.95,,,Auction,https://www.ebay.com/itm/117058773029
1886-S Morgan Dollar PCGS AU Detail. Gold Shield Freshly Graded,117059024103,"Mar 2, 2026",$199.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117059024103
"Set of 5 - Morgan Silver Dollars $1 - 1882, 1883-S, 1884, 1885, 1886-O",117077354398,"Mar 15, 2026",$400.00,$12.51,,,Auction,https://www.ebay.com/itm/117077354398
1886-S PCGS MS64 CAC Morgan Silver Dollar Semi Key Date,117078858865,"Mar 17, 2026","$1,560.00",$0.00,,,Fixed price,https://www.ebay.com/itm/117078858865
1886-S Morgan Silver Dollar UNC BU DETAILS - Dipped? Key Date RARE 1886-S,117094729288,"Mar 23, 2026",$151.00,$6.99,,,Auction,https://www.ebay.com/itm/117094729288
1886 S Morgan Silver Dollar,117099297774,"Mar 27, 2026",$50.00,$5.50,,,Auction,https://www.ebay.com/itm/117099297774
,,"Oct 12, 2025",$109.99,$7.80,,,Auction,
,,"Oct 15, 2025",$616.00,$0.00,,,Fixed price,
,,"Oct 21, 2025",$218.70,$5.24,,,Auction,
,,"Oct 31, 2025",$195.00,$9.00,,,Auction,
,,"Nov 7, 2025",$54.95,$0.00,,,Fixed price,
,,"Nov 20, 2025",$56.67,$0.00,,,Auction,
,,"Dec 3, 2025",$160.00,$0.00,,,Fixed price,
,,"Dec 21, 2025",$175.00,$0.00,,,Fixed price,
,,"Dec 10, 2025",$228.70,$0.00,,,Auction,
,,"Dec 25, 2025",$185.00,$0.00,,,Fixed price,
,,"Dec 27, 2025",$93.55,$0.00,,,Auction,
,,"Jan 2, 2026",$140.00,$6.25,,,Fixed price,
,,"Dec 26, 2025",$235.00,$5.00,,,Fixed price,
,,"Jan 1, 2026",$185.00,$5.00,,,Fixed price,
1886 S Morgan Silver Dollar,127606429518,"Jan 12, 2026",$149.00,$0.00,,,Auction,https://www.ebay.com/itm/127606429518
1886-S Morgan Silver Dollar Original Luster San Francisco Mint #431,127616103059,"Jan 11, 2026",$108.00,$5.15,,,Fixed price,https://www.ebay.com/itm/127616103059
1886 Philadelphia Morgan Liberty Head ONE DOLLAR S$1 USD USA 90% Silver Coin,127641327819,"Jan 28, 2026",$78.21,$6.99,,,Auction,https://www.ebay.com/itm/127641327819
1886-S Morgan Silver Dollar MS62 NGC *3361,127665815123,"Feb 15, 2026",$495.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127665815123
,,"Jan 10, 2026",$94.00,$0.00,,,Auction,,1
,,"Jan 12, 2026",$149.00,$0.00,,,Auction,,1
,,"Jan 11, 2026",$285.00,$5.25,,,Auction,,1
,,"Jan 11, 2026",$108.00,$5.15,,,Fixed price,,1
"lot of 5 Morgan silver dollars, 1885, 1885 O, 1886 O, 1887 O, 1897 S",127629856645,"Jan 22, 2026",$330.00,$5.75,,,Auction,https://www.ebay.com/itm/127629856645,1
1886-S Morgan Silver Dollar PCGS MS 63,127637364308,"Apr 11, 2026",$775.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127637364308,1
1883-S Morgan Silver Dollar - San Francisco - 90% Silver- VF-XF Details -Cleaned,127639436631,"Jan 29, 2026",$88.75,$0.00,,,Auction,https://www.ebay.com/itm/127639436631,1
1886 Morgan Silver Dollar S$1 MS 63 - NGC,127675465418,"Feb 22, 2026",$88.00,$2.98,,,Auction,https://www.ebay.com/itm/127675465418,1
1886-S Morgan Silver Dollar NGC AU Details Freshly Graded,127675899410,"Feb 9, 2026",$199.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127675899410,1
1896-S Morgan Silver Dollar $1 - XF Condition- Lots Of Shine. (J31),127680830609,"Feb 17, 2026",$142.76,$3.95,,,Auction,https://www.ebay.com/itm/127680830609,1
1886-(P) PCGS MS-64 Morgan Liberty Head ONE DOLLAR S$1 USD USA 90% Silver Coin,127682912763,"Feb 18, 2026",$102.50,$6.99,,,Auction,https://www.ebay.com/itm/127682912763,1
1886 S Morgan Silver Dollar ~ CIRCULATED BUT RARE ~ 90% Silver $1,127686669094,"Feb 22, 2026",$97.00,$6.50,,,Auction,https://www.ebay.com/itm/127686669094,1
1886-S $1 Morgan Silver Dollar - PCGS F15 - San Francisco CC975,127688643996,"Feb 20, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127688643996,1
1886-S Morgan Silver Dollar Grade VG,127692275733,"Feb 25, 2026",$73.22,$4.00,,,Auction,https://www.ebay.com/itm/127692275733,1
1886 S Morgan Silver Dollar Coin $1 Beautiful AU/BU Coin Rare Date,127746700266,"Mar 22, 2026",$184.75,$8.75,,,Auction,https://www.ebay.com/itm/127746700266,1
"Lot of 4 Morgan Silver Dollars – 1879‑S, 1881‑S (x2), 1886‑O – Strong Detail AU+",127805578973,"Apr 12, 2026",$260.00,$5.52,,,Fixed price,https://www.ebay.com/itm/127805578973,1
1886-S Morgan Silver Dollar $1 NGC G4 - Sweet original coin! Lowball!,134692117594,"Feb 7, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/134692117594,1
1886-S Morgan Silver Dollar NGC AU53,136198938077,"Feb 17, 2026",$275.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136198938077,1
,,"Oct 15, 2025",$213.50,$0.00,,,Auction,,1
,,"Nov 18, 2025",$449.00,$4.99,,,Fixed price,,1
,,"Nov 23, 2025",$203.70,$1.00,,,Auction,,1
,,"Dec 9, 2025",$185.00,$5.00,,,Fixed price,,1
,,"Dec 28, 2025",$275.00,$0.00,,,Fixed price,,1
,,"Jan 6, 2026",$624.99,$12.95,,,Fixed price,,1
1886-S Morgan Silver Dollar ICG AU-58 Bright Luster.,136925311055,"Feb 13, 2026",$252.00,$5.90,,,Fixed price,https://www.ebay.com/itm/136925311055,1
1886 1884-S Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *786,136940229890,"Jan 16, 2026",$152.50,$0.00,,,Auction,https://www.ebay.com/itm/136940229890,1
Early - 1886-S Morgan Silver Dollar - 90% US Coin *469,136943431866,"Jan 17, 2026",$101.00,$0.00,,,Auction,https://www.ebay.com/itm/136943431866,1
XF 1886-S Morgan Silver Dollar (Cleaned) U.S. $1 Coin Extra Fine,136952540443,"Jan 25, 2026",$157.50,$4.99,,,Auction,https://www.ebay.com/itm/136952540443,1
"1881 S, 1885 O, and 1886 $1 Morgan Silver Dollars in Capsules",136962921419,"Jan 26, 2026",$271.75,$0.00,,,Auction,https://www.ebay.com/itm/136962921419,1
1886-O 1890-S Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *671,136973642030,"Jan 27, 2026",$182.50,$0.00,,,Auction,https://www.ebay.com/itm/136973642030,1
"1886-S Morgan Dollar - VF details, Old Clnd (#61266-L)",136974101794,"Jan 30, 2026",$118.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136974101794,1
