Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
🐐 2015 Year of the Goat Gilded 1oz Silver Proof Lunar II Box COA Perth Mint,127777177917,"Apr 8, 2026",$160.00,$10.00,,,Fixed price,https://www.ebay.com/itm/127777177917,1
2015 Australia Lunar Year of the Goat 1 oz .9999 Fine Silver Coin Perth Mint,127779516329,"Apr 7, 2026",$80.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127779516329,1
,,"Dec 4, 2025",$27.00,$4.95,,,Fixed price,,1
2015 Niue Silver 1 Oz. $2 Proof Coin Year of the Goat Lunar Calendar Series,135553220674,"Jan 29, 2026",$159.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135553220674,2
,,"Oct 19, 2025",$32.00,$2.00,,,Fixed price,,1
,,"Nov 28, 2025",$55.24,$4.76,,,Fixed price,,1
(4) PAMP SUISSE LUNAR 1 Oz SILVER 2013 Snake 2015 Goat 2016 Monkey 2017 Rooster,136973802712,"Jan 22, 2026",$749.95,$0.00,,,Fixed price,https://www.ebay.com/itm/136973802712,1
2015 PAMP Lunar Calendar Series One Ounce Silver Bar Goat A3,137016723228,"Feb 12, 2026",$215.50,$4.99,,,Auction,https://www.ebay.com/itm/137016723228,1
,,"Jan 14, 2026",$94.95,$5.62,,,Fixed price,,1
,,"Dec 25, 2025",$180.00,$0.00,,,Fixed price,,1
,,"Dec 2, 2025",$36.00,$3.99,,,Auction,,1
,,"Jan 10, 2026",$114.00,$0.00,,,Fixed price,,1
2015 Australia Lunar Year of the Goat 1/2 oz .999 Fine Silver,147114610855,"Jan 26, 2026",$59.00,$5.89,,,Fixed price,https://www.ebay.com/itm/147114610855,1
2015 1 oz .999 Fine Silver Australian Lunar GOAT Perth Mint BU in Capsule,147115958767,"Jan 28, 2026",$125.50,$0.00,,,Auction,https://www.ebay.com/itm/147115958767,1
2015 1 oz .999 Fine Silver Australian Lunar GOAT Perth Mint BU in Capsule,147119897431,"Jan 29, 2026",$127.00,$0.00,,,Auction,https://www.ebay.com/itm/147119897431,1
2015 1 oz .999 Fine Silver Australian Lunar GOAT Perth Mint BU in Capsule,147142124415,"Feb 15, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/147142124415,1
2015 Pamp Lunar Series Year of the Goat 1 oz .999 Fine Silver Bar in Assay Card,147147600803,"Feb 10, 2026",$180.00,$7.55,,,Fixed price,https://www.ebay.com/itm/147147600803,1
2015 1 oz .999 Fine Silver Australian Lunar GOAT Perth Mint BU in Capsule,147157732637,"Feb 22, 2026",$97.25,$0.00,,,Auction,https://www.ebay.com/itm/147157732637,1
2015 1 oz .999 Fine Silver Australian Lunar GOAT Perth Mint BU in Capsule,147171328821,"Mar 1, 2026",$99.00,$0.00,,,Auction,https://www.ebay.com/itm/147171328821,1
2015 1 oz .999 Fine Silver Australian Lunar GOAT Perth Mint BU in Capsule,147254343708,"Apr 14, 2026",$91.00,$0.00,,,Auction,https://www.ebay.com/itm/147254343708,1
,,"Jan 10, 2026",$80.00,$5.15,,,Fixed price,,1
,,"Nov 28, 2025",$63.00,$4.25,,,Auction,,1
2015p AUSTRALIA Year Of The GOAT 1/20 GOLD COIN RARE RED LABEL MS70 BEST 😁🙏🏼,157582936069,"Feb 25, 2026",$319.00,$11.50,,,Fixed price,https://www.ebay.com/itm/157582936069,1
,,"Jan 11, 2026",$83.00,$7.90,,,Fixed price,,1
2015 Pamp Lunar Series Year of the Goat Ram 1 oz .999 Fine Silver Bar,157622403853,"Jan 29, 2026",$274.99,$5.95,,,Fixed price,https://www.ebay.com/itm/157622403853,1
2015 Pamp Lunar Series Year of the Goat Ram 1 oz .999 Fine Silver Bar,157701279029,"Feb 24, 2026",$289.99,$5.95,,,Fixed price,https://www.ebay.com/itm/157701279029,1
2015 1/2 oz .999 Fine Silver BU Perth Lunar Year of the Goat W/ Capsule,157709445796,"Mar 4, 2026",$52.77,$6.20,,,Auction,https://www.ebay.com/itm/157709445796,1
,,"Nov 12, 2025",$64.98,$0.00,,,Fixed price,,1
2015 $2 Niue Lunar YEAR OF THE GOAT Colored 1 Oz Silver Proof Coin.,166003983357,"Jan 14, 2026",$96.00,$0.00,,,Fixed price,https://www.ebay.com/itm/166003983357,1
,,"Oct 20, 2025",$58.99,$4.99,,,Fixed price,,1
,,"Nov 7, 2025",$32.00,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$76.00,$4.65,,,Auction,,1
Tuvalu 2015 Wealth Goat Good Fortune $1 Pure 1 Oz Colored Silver Proof Coin,168123558697,"Mar 1, 2026",$130.00,$20.00,,,Fixed price,https://www.ebay.com/itm/168123558697,1
2015 Australia 1 Oz Year Of The Goat Silver Bullion,168137471802,"Feb 24, 2026",$80.00,$7.95,,,Fixed price,https://www.ebay.com/itm/168137471802,1
,,"Jan 4, 2026",$52.00,$0.00,,,Fixed price,,1
2015 Australian Lunar Year Of The Goat Colorized Coin - Proof-Like - Low Mintage,177787996685,"Jan 21, 2026",$95.12,$5.20,,,Auction,https://www.ebay.com/itm/177787996685,1
2015-P Australia 1 Dollar 1oz 999 Silver Coin -Year of the Goat,178016828584,"Apr 12, 2026",$80.00,$0.00,,,Auction,https://www.ebay.com/itm/178016828584,1
,,"Nov 25, 2025",$149.41,$6.98,,,Fixed price,,1
,,"Dec 25, 2025",$71.25,$0.00,,,Fixed price,,1
,,"Dec 1, 2025",$34.99,$0.00,,,Fixed price,,4
2015 50c Tuvalu 1/2 oz ASW .999 Silver Baby Goat - Year of the Goat OMP - Q2088,187630513590,"Jan 27, 2026",$99.95,$5.50,,,Fixed price,https://www.ebay.com/itm/187630513590,1
,,"Oct 31, 2025",$519.00,$12.60,,,Fixed price,,1
,,"Dec 28, 2025",$229.99,$5.15,,,Fixed price,,1
🐐 2015 Australia Lunar Series II - Year of the Goat 1/2 oz .999 Silver Coin BU,187839333649,"Jan 12, 2026",$45.00,$4.54,,,Fixed price,https://www.ebay.com/itm/187839333649,1
,,"Dec 30, 2025",$215.00,$5.15,,,Fixed price,,1
1 SEALED ROLL (5-coins) 2015 $2 DOLLARS LUNAR YEAR GOAT 2 Oz. SILVER AUSTRALIA,187941205497,"Jan 24, 2026","$1,070.00",$10.99,,,Fixed price,https://www.ebay.com/itm/187941205497,1
,,"Jan 15, 2026",$135.00,$4.76,,,Fixed price,,1
2014-P & 2015-P First Strike Horse & Goat PCGS MS70,187955807731,"Jan 22, 2026",$167.50,$6.00,,,Auction,https://www.ebay.com/itm/187955807731,1
2015 Year Of The Goat Series 2 Australian Lunar New Year 1 oz Silver 999,187965102957,"Jan 18, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/187965102957,1
Niue 2015 $2 Chinese Lunar Calendar Year of the Goat 1 oz Silver Coin,187987749069,"Jan 31, 2026",$143.50,$5.62,,,Auction,https://www.ebay.com/itm/187987749069,1
