Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2015 AUSTRALIA LUNAR YEAR OF THE GOAT 1 oz. SILVER COIN WITH MINT CAPSULE,287101586300,"Feb 5, 2026",$100.00,$8.30,,,Auction,https://www.ebay.com/itm/287101586300,1
2015 AUSTRALIA LUNAR YEAR OF THE GOAT 1 oz. SILVER COIN WITH MINT CAPSULE,287123887663,"Feb 15, 2026",$88.97,$7.70,,,Auction,https://www.ebay.com/itm/287123887663,1
2015 Australian Lunar Year of Goat 1oz Silver .999 $1 Coin BU In Capsule,287156934143,"Mar 1, 2026",$97.00,$3.20,,,Auction,https://www.ebay.com/itm/287156934143,1
2015 Pamp Lunar Series Year of the Goat 1 oz 999 Fine Silver Bar,287257743556,"Apr 7, 2026",$197.00,$5.62,,,Fixed price,https://www.ebay.com/itm/287257743556,1
,,"Jan 31, 2026",$255.00,$0.00,,,Fixed price,,1
,,"Nov 23, 2025",$47.08,$4.65,,,Auction,,1
,,"Nov 23, 2025",$48.00,$4.52,,,Auction,,1
,,"Dec 15, 2025",$99.99,$5.25,,,Auction,,1
,,"Jan 10, 2026",$94.05,$0.00,,,Fixed price,,1
,,"Jan 24, 2026",$165.00,$4.88,,,Fixed price,,1
,,"Jan 30, 2026",$105.50,$0.00,,,Auction,,1
2015 1/2oz Australian Silver Lunar Goat Coin NGC MS69,298210365985,"Apr 24, 2026",$50.00,$5.52,,,Fixed price,https://www.ebay.com/itm/298210365985,1
,,"Nov 11, 2025",$55.13,$0.00,,,Fixed price,,1
,,"Dec 24, 2025",$219.74,$0.00,,,Fixed price,,1
,,"Jan 20, 2026",$94.99,$5.99,,,Fixed price,,1
,,"Jan 3, 2026",$299.74,$43.82,,,Fixed price,,1
2015 ( 2015-P ) $1 S$1 AUSTRALIA GILDED GILT Lunar GOAT 1 Oz. SILVER NGC MS69 !!,306777831211,"Feb 20, 2026",$185.00,$0.00,,,Fixed price,https://www.ebay.com/itm/306777831211,1
2015 Niue-Year of the Goat-1 oz 0.999 silver,306783561324,"Apr 11, 2026",$82.00,$5.00,,,Fixed price,https://www.ebay.com/itm/306783561324,1
2015 Tokelau Reverse Proof Lunar Goat 1 oz Silver Coin,306894867444,"Apr 28, 2026",$77.00,$2.31,,,Auction,https://www.ebay.com/itm/306894867444,1
,,"Dec 28, 2025",$85.00,$0.00,,,Fixed price,,1
,,"Jan 27, 2026",$79.99,$7.95,,,Fixed price,,1
,,"Jan 28, 2026",$198.99,$5.39,,,Fixed price,,1
2015-P $1 Australia 1 oz .999 Silver Year of the Goat - PCGS MS 70 - Q3228,317813932616,"Feb 4, 2026",$135.00,$5.50,,,Auction,https://www.ebay.com/itm/317813932616,1
