Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2021 Mexico 1oz Silver Libertad PCGS Brilliant Uncirculated - Flag Label,364936826313,"Feb 23, 2026",$115.13,$0.00,,,Fixed price,https://www.ebay.com/itm/364936826313
2021 Mexico 1oz Silver Libertad PCGS MS69 - Flag Label,364906052198,"Apr 2, 2026",$111.10,$0.00,,,Fixed price,https://www.ebay.com/itm/364906052198
2021 1 oz Silver Libertad ! 1 Onza Plata Pura! Casa De La Moneda Mexico BU !,267361029290,"Dec 8, 2025",$69.56,$0.00,,,Fixed price,https://www.ebay.com/itm/267361029290
2021 Mexico 1Onza Libertad .999 1 Oz Silver From Mint Roll In Capsule Coin#(360),406635798595,"Jan 28, 2026",$125.20,$5.73,,,Fixed price,https://www.ebay.com/itm/406635798595
2021 Ley Mexico Mexican Libertad 1 Onza Plata Pura 1 ozt. 0.999 Fine Silver,127233843090,"Dec 5, 2025",$65.28,$0.00,,,Fixed price,https://www.ebay.com/itm/127233843090
2021 Mexico Libertad 1 oz. Silver Limited BU Round Capsuled AG-47 Bullion Coin,164896757127,"Jan 10, 2026",$88.59,$6.94,,,Fixed price,https://www.ebay.com/itm/164896757127
,,"Oct 20, 2025",$64.08,$0.00,,,Fixed price,
,,"Dec 23, 2025",$89.95,$0.00,,,Fixed price,
,,"Jan 2, 2026",$121.54,$0.00,,,Fixed price,
,,"Dec 5, 2025",$61.99,$4.77,,,Fixed price,
2021 Mexico BU Silver Libertad 1 oz Coin - Tube- 25 Coins Roll ! Plata Pura MEX,267474927075,"Jan 11, 2026","$1,892.25",$0.00,,,Fixed price,https://www.ebay.com/itm/267474927075
,,"Dec 28, 2025",$39.99,$0.00,,,Fixed price,
2021 Silver Libertad 1 Oz BU Hard Hitting Mexican .999 Silver Muscle Low Mintage,177293665072,"Jan 26, 2026",$95.67,$6.62,,,Fixed price,https://www.ebay.com/itm/177293665072
,,"Nov 12, 2025",$62.95,$0.00,,,Fixed price,
,,"Dec 3, 2025",$295.88,$0.00,,,Fixed price,
2021 Mexico Silver 1oz Libertad & Bicentennial Independence 2 Coin Set w/Box (F),354446944707,"Jan 28, 2026",$266.66,$0.00,,,Fixed price,https://www.ebay.com/itm/354446944707
2021 Mexico 1/10oz Silver Libertad Proof in Capsule,406480736695,"Jan 9, 2026",$31.99,$4.00,,,Fixed price,https://www.ebay.com/itm/406480736695
2021 Mexico 1 oz Silver Libertad (MD Premier + PCGS FirstStrike®),116346122655,"Feb 6, 2026",$155.17,$0.00,,,Fixed price,https://www.ebay.com/itm/116346122655
,,"Dec 16, 2025",$71.50,$3.99,,,Fixed price,
2021 Mexico Libertad 1oz Fine Silver BU Bullion Coin round Mexican,164941756378,"Jan 11, 2026",$93.46,$18.00,,,Fixed price,https://www.ebay.com/itm/164941756378
2021 Mexico Libertad 1oz Fine Silver BU Bullion Coin round Mexican,168125499333,"Feb 6, 2026",$102.45,$17.50,,,Fixed price,https://www.ebay.com/itm/168125499333
,,"Dec 26, 2025",$174.07,$7.33,,,Fixed price,
ONE 2021 Mexico Libertad 1 oz Silver NGC Coat of Arms Label MS70 Early Release,177780757523,"Feb 17, 2026",$225.00,$6.95,,,Fixed price,https://www.ebay.com/itm/177780757523
2021 SILVER MEXICO 1/20 ONZA LIBERTAD PROOF COIN NGC PF 69 ULTRA CAMEO,225927737100,"Feb 19, 2026",$56.67,$6.33,,,Fixed price,https://www.ebay.com/itm/225927737100
2021 Mexico 1 oz Silver Libertad (MD Premier + PCGS FirstStrike®) TEP,257370008179,"Feb 23, 2026",$169.99,$0.00,,,Fixed price,https://www.ebay.com/itm/257370008179
2021 Mo Proof Mexico Libertad 1 oz Silver 999 Onza Ounce,267597609040,"Mar 19, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/267597609040
,,"Jan 2, 2026",$82.71,$17.85,,,Fixed price,
,,"Jan 19, 2026",$95.52,$7.62,,,Fixed price,
,,"Nov 1, 2025",$122.55,$4.87,,,Fixed price,
,,"Nov 17, 2025",$64.51,$4.63,,,Fixed price,
,,"Oct 15, 2025",$65.00,$4.75,,,Auction,
,,"Oct 20, 2025",$58.75,$4.75,,,Auction,
,,"Oct 22, 2025",$66.25,$4.75,,,Auction,
,,"Dec 11, 2025",$68.00,$4.75,,,Auction,
,,"Dec 25, 2025",$85.99,$2.95,,,Auction,
,,"Dec 27, 2025",$79.99,$4.50,,,Fixed price,
,,"Jan 5, 2026",$96.00,$4.75,,,Auction,
2021 Mexico Libertad .999 Fine Silver 1 Ounce Uncirculated Coin in Cap,116989541284,"Jan 28, 2026",$135.00,$4.75,,,Auction,https://www.ebay.com/itm/116989541284
2021 MS69 1/2 OZ 99.9% Silver Libertad Mexico Flag First Strike Slabbed Coin,117011201476,"Feb 7, 2026",$78.00,$5.62,,,Auction,https://www.ebay.com/itm/117011201476
2021 MS69 1/4 OZ 99.9% Pure Silver Mexico Flag First Strike Libertad,117011206519,"Feb 7, 2026",$103.57,$5.45,,,Auction,https://www.ebay.com/itm/117011206519
2021 MS70 1 OZ 99.9% Silver Libertad First Strike Mexico Flag Label,117034694104,"Feb 21, 2026",$180.50,$7.51,,,Auction,https://www.ebay.com/itm/117034694104
2021 Libertad Silver 1 oz Mexico,117070711886,"Mar 9, 2026",$95.00,$6.00,,,Auction,https://www.ebay.com/itm/117070711886
2021 Libertad Silver 1 oz Mexico,117084855459,"Mar 17, 2026",$102.50,$2.07,,,Auction,https://www.ebay.com/itm/117084855459
2021 1/20 oz Mexican Silver Libertad Proof (In Capsule),127023230948,"Jan 21, 2026",$37.47,$0.00,,,Fixed price,https://www.ebay.com/itm/127023230948
,,"Dec 11, 2025",$65.99,$7.25,,,Fixed price,
,,"Dec 9, 2025",$104.00,$7.45,,,Fixed price,
Genuine 2021 Mexico Libertad 1 oz .999 Silver Painted,127547284916,"Jan 23, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127547284916
,,"Dec 24, 2025",$480.00,$7.36,,,Auction,
,,"Jan 5, 2026",$80.00,$4.99,,,Fixed price,
"1 oz 2021 Mexico Mint .999 Fine Silver Mexican Libertad Bullion Round Coin, Trkd",127626896788,"Jan 16, 2026",$121.00,$8.40,,,Fixed price,https://www.ebay.com/itm/127626896788
2021 Mexico 1oz Silver Libertad PCGS MS69 - Flag Label,364906052198,"Apr 8, 2026",$115.60,$0.00,,,Fixed price,https://www.ebay.com/itm/364906052198
2021 Mexico 1oz Silver Libertad PCGS Brilliant Uncirculated - Flag Label,364936826313,"Apr 9, 2026",$115.59,$0.00,,,Fixed price,https://www.ebay.com/itm/364936826313
2021 Mexico 1oz Silver Libertad PCGS MS69 - Flag Label,364906052198,"Apr 8, 2026",$118.26,$0.00,,,Fixed price,https://www.ebay.com/itm/364906052198
2021 1 oz Silver Libertad ! 1 Onza Plata Pura! Casa De La Moneda Mexico BU !,267361029290,"Dec 8, 2025",$69.59,$0.00,,,Fixed price,https://www.ebay.com/itm/267361029290
2021 Ley Mexico Mexican Libertad 1 Onza Plata Pura 1 ozt. 0.999 Fine Silver,127233843090,"Dec 5, 2025",$65.66,$0.00,,,Fixed price,https://www.ebay.com/itm/127233843090
,,"Jan 10, 2026",$88.59,$6.94,,,Fixed price,
,,"Oct 20, 2025",$64.24,$0.00,,,Fixed price,
,,"Jan 9, 2026",$31.99,$4.00,,,Fixed price,
,,"Jan 11, 2026",$93.46,$18.00,,,Fixed price,
2021 Mexico 1oz Silver Libertad PCGS MS69 - Flag Label,364906052198,"Apr 8, 2026",$119.59,$0.00,,,Fixed price,https://www.ebay.com/itm/364906052198,37
👉2 oz SILVER 🔥 Mexico Libertad 🔥 Bicentennial Independence 👉 2021 Box Set 🔥,127651773255,"Jan 28, 2026",$250.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127651773255,3
2021-Mo Mexico Silver Onza 1 oz NGC MS 69 First Release Plata Pura Libertad Q549,127696233746,"Feb 25, 2026",$140.00,$5.57,,,Fixed price,https://www.ebay.com/itm/127696233746,1
2021 Mexico Libertad-Una Onza .999 Silver 1 oz. Coin,127801339303,"Apr 9, 2026",$87.00,$5.07,,,Fixed price,https://www.ebay.com/itm/127801339303,1
2021 Mexico 1 oz .999 Silver Libertad 24Kt Gold Gilded,136485658422,"Jan 13, 2026",$95.00,$4.65,,,Fixed price,https://www.ebay.com/itm/136485658422,1
,,"Nov 7, 2025",$82.95,$0.00,,,Fixed price,,1
,,"Dec 22, 2025",$80.00,$0.00,,,Fixed price,,1
2021 Mexican Libertad 1 Onza NARCOS .999 1 oz Silver 40.6 mm Coin,136869242809,"Jan 14, 2026",$165.00,$5.00,,,Fixed price,https://www.ebay.com/itm/136869242809,1
2021 Mexican Libertad 1 Onza NARCOS .999 1 oz Silver 40.6 mm Coin,136869245320,"Feb 24, 2026",$168.00,$5.00,,,Fixed price,https://www.ebay.com/itm/136869245320,1
,,"Dec 24, 2025",$79.00,$0.00,,,Fixed price,,1
2021 MEXICO SILVER LIBERTAD 1 OUNCE PCGS MS 68 FIRST STRIKE,136905085585,"Jan 16, 2026",$135.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136905085585,1
,,"Jan 11, 2026",$25.99,$7.80,,,Fixed price,,1
2021 Proof Silver Libertad 1/20 Onza Coin 1/20 Ounce In Capsule,136932015570,"Jan 23, 2026",$29.99,$7.95,,,Fixed price,https://www.ebay.com/itm/136932015570,1
2021 Mexico Libertad 1 oz .999 Silver / 1 Onza Plata Pura - PCGS First Strike BU,136933207511,"Jan 15, 2026",$144.51,$4.25,,,Auction,https://www.ebay.com/itm/136933207511,1
2021 Mexico Libertad 1 oz .999 Silver / 1 Onza Plata Pura - Near Flawless,136958815899,"Jan 24, 2026",$124.50,$4.25,,,Auction,https://www.ebay.com/itm/136958815899,1
2021 Banco de México 2-Coin Silver Set-Libertad & Bicentennial Proof Ltd Mintage,137041234992,"Apr 9, 2026",$340.10,$0.00,,,Fixed price,https://www.ebay.com/itm/137041234992,1
2021 Mexico Libertad 1 oz .999 Silver / 1 Onza Plata Pura - PCGS 1st Strk - BU,137079710153,"Mar 6, 2026",$131.00,$4.25,,,Auction,https://www.ebay.com/itm/137079710153,1
2021 MEXICO - Narcos Colorized 1 oz Silver Libertad With Box- BEAUTIFUL COIN!!,146235336169,"Jan 27, 2026",$134.49,$6.00,,,Fixed price,https://www.ebay.com/itm/146235336169,1
2021 Mexico 2 Coin 1 Oz Silver Bicentennial Set W/Box & COA,146793967680,"Jan 15, 2026",$205.00,$10.99,,,Fixed price,https://www.ebay.com/itm/146793967680,1
,,"Oct 26, 2025",$68.00,$7.80,,,Auction,,1
,,"Dec 5, 2025",$69.26,$0.00,,,Fixed price,,1
,,"Dec 24, 2025",$79.99,$0.00,,,Fixed price,,1
,,"Dec 21, 2025",$75.00,$5.09,,,Fixed price,,1
2021 Libertad BU 1 Oz Silver Round Mexico,147103322970,"Jan 19, 2026",$100.00,$3.75,,,Fixed price,https://www.ebay.com/itm/147103322970,1
2005/2015/2021/2022 1 Oz Onza Mexican Libertad 999 Silver Plata Pura Coin. 4 OZs,147103684786,"Jan 24, 2026",$430.00,$5.99,,,Auction,https://www.ebay.com/itm/147103684786,1
2021 Mexico Silver Proof 1 Oz Elite Libertad Traders .999. Only 100 Made,147124994605,"Jan 30, 2026",$150.00,$5.45,,,Fixed price,https://www.ebay.com/itm/147124994605,1
2021 Mexican Libertad 1 oz 0.999 Silver BU - Low Mintage,147230580274,"Apr 9, 2026",$105.00,$4.88,,,Fixed price,https://www.ebay.com/itm/147230580274,1
Very Nice 2021 Mexico Libertad Onza 1/2 oz .999 Silver in capsule,147233551913,"Apr 5, 2026",$65.00,$5.52,,,Auction,https://www.ebay.com/itm/147233551913,1
,,"Oct 20, 2025",$24.00,$5.95,,,Fixed price,,1
,,"Nov 1, 2025",$160.00,$5.37,,,Fixed price,,1
,,"Nov 9, 2025",$149.95,$0.00,,,Fixed price,,1
,,"Nov 21, 2025",$135.00,$4.52,,,Auction,,1
,,"Nov 29, 2025",$138.00,$5.15,,,Auction,,1
,,"Dec 7, 2025",$71.00,$0.00,,,Auction,,1
,,"Dec 12, 2025",$72.00,$4.87,,,Fixed price,,1
,,"Dec 13, 2025",$139.00,$5.20,,,Auction,,1
,,"Dec 20, 2025",$136.00,$5.15,,,Auction,,1
,,"Jan 8, 2026",$98.00,$5.00,,,Fixed price,,1
✅ IN-HAND ✅ Reverse Proof! 2021 1 Kilo Mexico Libertad Silver 32.15 Oz Low Coa!!,157613839359,"Jan 16, 2026","$5,850.00",$22.00,,,Fixed price,https://www.ebay.com/itm/157613839359,1
2021 Mexico Silver 1oz Libertad & Bicentennial Independence 2 Coin Set w/Box,157614598484,"Jan 29, 2026",$300.00,$5.95,,,Fixed price,https://www.ebay.com/itm/157614598484,1
2021 MEXICO SILVER LIBERTAD 1 ONZA NGC MS 70 FIRST RELEASES RARE PERFECT 1 OZ,157640437542,"Jan 29, 2026",$189.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157640437542,1
2021 MEXICO SILVER LIBERTAD 1 ONZA NGC MS 70 FIRST RELEASES RARE PERFECTION 1 OZ,157724118337,"Mar 4, 2026",$189.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157724118337,1
2021 MEXICO SILVER LIBERTAD 1 ONZA NGC MS 70 FIRST RELEASES RARE PERFECTION 1 OZ,157737484588,"Mar 10, 2026",$189.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157737484588,1
2021 MEXICO SILVER LIBERTAD 1 ONZA NGC MS 70 FIRST RELEASES RARE PERFECT 1 OZ,157737711560,"Mar 22, 2026",$184.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157737711560,1
2021 Mo Mexico Libertad Onza 1 oz .999 Silver - PCGS MS 69,157741233220,"Mar 18, 2026",$139.00,$7.00,,,Fixed price,https://www.ebay.com/itm/157741233220,1
,,"Jan 4, 2026",$84.95,$5.45,,,Fixed price,,1
,,"Dec 14, 2025",$149.95,$0.00,,,Fixed price,,1
,,"Nov 10, 2025",$149.95,$0.00,,,Fixed price,,1
,,"Oct 14, 2025",$149.95,$0.00,,,Fixed price,,1
,,"Oct 16, 2025",$124.95,$8.40,,,Auction,,1
,,"Dec 18, 2025",$150.00,$9.25,,,Fixed price,,1
2021 MEXICO SILVER LIBERTAD 1 ONZA NGC MS 70 FIRST RELEASES RARE PERFECT 1 OZ,168014292666,"Jan 25, 2026",$189.95,$0.00,,,Fixed price,https://www.ebay.com/itm/168014292666,1
,,"Jan 5, 2026",$163.50,$8.00,,,Auction,,1
2021 MEXICO SILVER LIBERTAD 1 ONZA NGC MS 70 FIRST RELEASES RARE GEM 1 OZ,168044911673,"Jan 19, 2026",$184.95,$0.00,,,Fixed price,https://www.ebay.com/itm/168044911673,1
