Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1881 S Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin,365242104162,"Apr 7, 2026",$91.75,$15.01,,,Fixed price,https://www.ebay.com/itm/365242104162
1881-S US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404837029592,"Apr 7, 2026",$92.97,$0.00,,,Fixed price,https://www.ebay.com/itm/404837029592
,,"Oct 16, 2025",$22.53,$0.00,,,Fixed price,
,,"Jan 1, 2026",$74.99,$0.00,,,Fixed price,
* 1881-S * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154335581093,"Mar 22, 2026",$164.84,$0.00,,,Fixed price,https://www.ebay.com/itm/154335581093
[Removed] Item 357771464724,357771464724,"Oct 23, 2025",$25.54,$0.00,,,Fixed price,
,,"Nov 10, 2025",$22.37,$0.00,,,Fixed price,
VG/F 1881-S Morgan Silver Dollar (1 coin),135875430247,"Jan 20, 2026",$58.73,$0.00,,,Fixed price,https://www.ebay.com/itm/135875430247
[Removed] Item 389263317872,389263317872,"Nov 28, 2025",$19.37,$0.00,,,Fixed price,
BU/Unc 1881-S Morgan Silver Dollar (1 coin),133156560655,"Jan 5, 2026",$70.36,$5.24,,,Fixed price,https://www.ebay.com/itm/133156560655
,,"Oct 14, 2025",$23.54,$0.00,,,Fixed price,
,,"Nov 4, 2025",$19.37,$0.00,,,Fixed price,
,,"Oct 21, 2025",$19.08,$0.00,,,Fixed price,
,,"Oct 27, 2025",$25.06,$2.00,,,Fixed price,
AU+ 1881-S Morgan Silver Dollar (1 coin),126926594915,"Dec 11, 2025",$52.53,$0.00,,,Fixed price,https://www.ebay.com/itm/126926594915
VF 1881-S Morgan Silver Dollar (1 coin),127087151445,"Dec 1, 2025",$47.38,$0.00,,,Fixed price,https://www.ebay.com/itm/127087151445
[Removed] Item 127401503435,127401503435,"Oct 22, 2025",$26.16,$0.00,,,Fixed price,
XF 1881-S Morgan Silver Dollar (1 coin),365117529458,"Jan 24, 2026",$59.55,$0.00,,,Fixed price,https://www.ebay.com/itm/365117529458
1881-S Morgan Silver Dollar MS63 ICG,365384390381,"Dec 23, 2025",$77.59,$0.00,,,Fixed price,https://www.ebay.com/itm/365384390381
,,"Jan 7, 2026",$123.50,$0.00,,,Fixed price,
,,"Feb 6, 2026",$29.98,$0.00,,,Fixed price,
1881-S Morgan Silver Dollar Uncirculated PCGS MS64 Great Coin Super Low Price,168155368612,"Feb 24, 2026",$117.20,$4.50,,,Fixed price,https://www.ebay.com/itm/168155368612
[Removed] Item 177611975370,177611975370,"Dec 1, 2025",$18.74,$0.00,,,Fixed price,
[Removed] Item 287151650763,287151650763,"Feb 19, 2026",$32.88,$0.00,,,Fixed price,
,,"Dec 1, 2025",$95.56,$0.00,,,Fixed price,
"1881-S Morgan Dollar, Gem BU MS PL FIELDS, Frosty Flashy Proof-Like Mirrors PQ",365376186475,"Feb 4, 2026",$123.99,$25.81,,,Fixed price,https://www.ebay.com/itm/365376186475
1881-S Morgan Silver Dollar Coin,389739688595,"Mar 15, 2026",$39.55,$0.00,,,Fixed price,https://www.ebay.com/itm/389739688595
UNC./MS 1881-S MORGAN SILVER DOLLAR CHOICE MS DETAIL COLLECTORS COIN M-1624,116965298957,"Mar 17, 2026",$88.00,$11.17,,,Fixed price,https://www.ebay.com/itm/116965298957
1881-S Morgan Silver Dollar NGC MS63 Blazing White - STOCK,388177967016,"Jan 11, 2026",$84.00,$0.00,,,Fixed price,https://www.ebay.com/itm/388177967016
,,"Nov 10, 2025",$23.02,$0.00,,,Fixed price,
"Morgan Silver dollar coins 1880 s, 1881 s, 1883 nm, 1884 s, 1890 s, 1899o Cull",127658874963,"Feb 8, 2026",$69.00,$11.98,,,Fixed price,https://www.ebay.com/itm/127658874963
1881-S $1 Morgan Silver Dollar NGC MS63 Bullion Plus Label Bag Fragment,136999471346,"Feb 8, 2026",$111.24,$0.00,,,Fixed price,https://www.ebay.com/itm/136999471346
[Removed] Item 167842937792,167842937792,"Dec 5, 2025",$23.90,$0.00,,,Fixed price,
[Removed] Item 197747640612,197747640612,"Oct 15, 2025",$21.23,$8.00,,,Fixed price,
,,"Dec 29, 2025",$79.95,$0.00,,,Fixed price,
1881 S MORGAN SILVER DOLLAR ~ ~ CHOICE BU MS UNCIRCULATED ~ FRESH FROM ROLL,256611311676,"Jan 17, 2026",$95.95,$0.00,,,Fixed price,https://www.ebay.com/itm/256611311676
1881 S Morgan Dollar ~ UNC UNCIRCULATED ~ 90% Silver $1 US Coin Collectible,256620513856,"Oct 29, 2025",$52.95,$0.00,,,Fixed price,https://www.ebay.com/itm/256620513856
1881-S $1 Morgan Silver Dollar NGC MS 63 | Uncirculated UNC,304315329245,"Jan 23, 2026",$98.95,$0.00,,,Fixed price,https://www.ebay.com/itm/304315329245
1881-S Morgan Silver Dollar MS63 PCGS,362734321055,"Dec 28, 2025",$94.33,$0.00,,,Fixed price,https://www.ebay.com/itm/362734321055
1881 S Morgan Dollar AU About Uncirculated 90% Silver $1 US Coin Collectible,365978682137,"Dec 2, 2025",$65.72,$0.00,,,Fixed price,https://www.ebay.com/itm/365978682137
1881-S Morgan Silver Dollar NGC MS63 $1,389306121573,"Jan 14, 2026",$89.95,$0.00,,,Fixed price,https://www.ebay.com/itm/389306121573
"1881-S Silver Morgan Dollar, $1, PCGS MS63, HIGH GRADE, PROOF-LIKE",126899128981,"Mar 4, 2026",$99.97,$7.63,,,Fixed price,https://www.ebay.com/itm/126899128981
1881 S Morgan Dollar MS 63 NGC Silver $1,135064257550,"Feb 11, 2026",$87.50,$6.00,,,Fixed price,https://www.ebay.com/itm/135064257550
,,"Jan 2, 2026","$1,600.00",$0.00,,,Fixed price,
1881-O Morgan Dollar BU Roll of 20 S$1 Coins Brilliantly Uncirculated,154650780492,"Dec 15, 2025","$1,387.50",$0.00,,,Fixed price,https://www.ebay.com/itm/154650780492
1881 S Silver Morgan Dollar in Choice PCGS MS63 Condition ++MINT++,157620065942,"Jan 17, 2026",$82.50,$0.00,,,Fixed price,https://www.ebay.com/itm/157620065942
1881 S US Morgan Silver Dollar in Choice NGC MS63 Condition ++MINT++,157620069638,"Jan 19, 2026",$93.33,$0.00,,,Fixed price,https://www.ebay.com/itm/157620069638
"1881-S $1 Morgan Silver Dollar ANACS ""soapbox' (Toned) MS 62",157693204808,"Apr 1, 2026",$127.50,$0.00,,,Fixed price,https://www.ebay.com/itm/157693204808
[Removed] Item 167855995626,167855995626,"Nov 23, 2025",$23.69,$0.00,,,Fixed price,
1881 S Morgan Silver Dollar ICG MS-63,167902587433,"Feb 13, 2026",$66.32,$6.23,,,Fixed price,https://www.ebay.com/itm/167902587433
1881 S Morgan Dollar BU Uncirculated Mint State 90% Silver $1 US Coin,365242104162,"Apr 12, 2026",$92.80,$15.01,,,Fixed price,https://www.ebay.com/itm/365242104162,127
1881-S US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404837029592,"Apr 8, 2026",$93.48,$0.00,,,Fixed price,https://www.ebay.com/itm/404837029592,60
,,"Oct 16, 2025",$22.40,$0.00,,,Fixed price,,64
* 1881-S * CHOICE to GEM BU MS MORGAN SILVER DOLLAR * FROM ORIGINAL BANK BAG *,154335581093,"Mar 22, 2026",$165.96,$0.00,,,Fixed price,https://www.ebay.com/itm/154335581093,29
,,"Nov 10, 2025",$22.33,$0.00,,,Fixed price,,22
,,"Jan 11, 2026",$84.00,$0.00,,,Fixed price,,5
1881-S $1 Morgan Silver Dollar NGC MS63 Brown Label,177573955471,"Apr 10, 2026",$99.91,$0.00,,,Fixed price,https://www.ebay.com/itm/177573955471,3
1881-S $1 MORGAN DOLLAR - ICG MS-64 - UNCIRCULATED - Silver Dollar,397727337701,"Apr 9, 2026",$82.33,$5.77,,,Fixed price,https://www.ebay.com/itm/397727337701,3
,,"Mar 15, 2026",$29.85,$0.00,,,Fixed price,,2
"1881-S Morgan Silver Dollar CAC MS63 — Proof-Like Fields, San Francisco - BERT",188081849711,"Mar 17, 2026",$126.35,$3.00,,,Fixed price,https://www.ebay.com/itm/188081849711,2
,,"Jan 1, 2026",$126.00,$0.00,,,Fixed price,,2
"1881 S Morgan Silver Dollar, PCGS MS 64, Pulled From Storage, Fast Ship 🚢",236233010566,"Jan 17, 2026",$116.71,$0.00,,,Fixed price,https://www.ebay.com/itm/236233010566,6
1881 S $1 NGC Morgan Dollar Original Bag Fragment MS63,256549543070,"Jan 23, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/256549543070,3
1881 S Morgan Dollar From OBW Estate Roll Choice-Gem Bu Uncirculated 90% Silver,266775237366,"Nov 28, 2025",$132.45,$0.00,,,Fixed price,https://www.ebay.com/itm/266775237366,2
1881 S Morgan Dollar ~ AU UNC ABOUT UNCIRCULATED ~ 90% Silver $1 US Coin,266970834523,"Oct 19, 2025",$47.95,$0.00,,,Fixed price,https://www.ebay.com/itm/266970834523,2
,,"Nov 30, 2025",$135.00,$0.00,,,Fixed price,,2
,,"Dec 30, 2025",$120.28,$4.76,,,Fixed price,,2
1881-S PL Morgan Dollar Gem BU Prooflike 90% Silver US Coin Big Hoard,287151650780,"Feb 19, 2026",$29.99,$0.00,,,Fixed price,https://www.ebay.com/itm/287151650780,4
,,"Jan 1, 2026",$63.99,$4.50,,,Fixed price,,4
,,"Oct 22, 2025",$17.88,$0.00,,,Fixed price,,6
1881-S Morgan Silver Dollar NGC MS63 Bullion Plus Label Original Bag Fragment,317904575979,"Mar 30, 2026",$99.91,$0.00,,,Fixed price,https://www.ebay.com/itm/317904575979,2
[Removed] Item 357723956631,357723956631,"Nov 6, 2025",$19.99,$0.00,,,Fixed price,,13
1881-S Morgan Silver Dollar MS64 PCGS Blue Label,365095190951,"Dec 15, 2025",$93.48,$0.00,,,Fixed price,https://www.ebay.com/itm/365095190951,2
,,"Dec 18, 2025",$69.99,$0.00,,,Fixed price,,2
1881-S Morgan Silver Dollar BU Coin (B34),376148992381,"Jan 28, 2026",$87.00,$0.00,,,Fixed price,https://www.ebay.com/itm/376148992381,2
,,"Nov 3, 2025",$19.99,$0.00,,,Fixed price,,2
,,"Nov 4, 2025",$17.50,$0.00,,,Fixed price,,2
[Removed] Item 406378052112,406378052112,"Dec 1, 2025",$39.97,$0.00,,,Fixed price,,5
[Removed] Item 406385687685,406385687685,"Dec 3, 2025",$19.69,$0.00,,,Fixed price,,2
1881-S $1 PL Morgan Silver Dollar Some Edge Toning Great Luster Choice BU *2836,112787851010,"Feb 19, 2026",$84.00,$0.00,,,Fixed price,https://www.ebay.com/itm/112787851010,1
1881-S MORGAN SILVER DOLLAR MIRROR LIKE REFL. FIELDS! GEM BU UNC #332618-52Z,112895315552,"Feb 7, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/112895315552,1
,,"Dec 19, 2025",$130.00,$5.95,,,Fixed price,,1
,,"Jan 8, 2026",$69.95,$0.00,,,Fixed price,,1
1881-S Morgan Silver Dollar PCGS MS62 Toned,114826147444,"Jan 25, 2026",$100.00,$8.99,,,Fixed price,https://www.ebay.com/itm/114826147444,1
"1881 S Silver Morgan Dollar , MS63 - T;3",115474071221,"Jan 25, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/115474071221,1
1881 - S MORGAN DOLLAR,116115760413,"Jan 23, 2026",$72.00,$4.99,,,Fixed price,https://www.ebay.com/itm/116115760413,1
1881-S Morgan Silver Dollar $1 PCGS MS65 48076397,116140587932,"Mar 3, 2026",$199.95,$0.00,,,Fixed price,https://www.ebay.com/itm/116140587932,1
,,"Dec 25, 2025",$80.00,$5.95,,,Fixed price,,1
1881-S Morgan Silver Dollar NGC MS64 Nice Shine Real Solid $1 Coin M8🔥,116237808545,"Jan 29, 2026",$124.95,$0.00,,,Fixed price,https://www.ebay.com/itm/116237808545,1
1881-S Morgan Silver Dollar NGC MS64 Beautiful Luster Sweet $1 Coin M3🔥,116237817766,"Apr 2, 2026",$132.95,$0.00,,,Fixed price,https://www.ebay.com/itm/116237817766,1
,,"Oct 20, 2025",$89.95,$0.00,,,Fixed price,,1
,,"Dec 17, 2025",$58.00,$8.40,,,Fixed price,,1
,,"Dec 27, 2025",$62.00,$0.00,,,Fixed price,,1
,,"Dec 13, 2025",$51.00,$0.00,,,Fixed price,,1
,,"Oct 24, 2025",$300.00,$5.95,,,Fixed price,,1
1881 S Morgan Silver Dollar - PCGS Certified MS65 !!,116500074690,"Jan 27, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116500074690,1
1881 S Morgan Silver Dollar PCGS MS64 Old Holder Green Label,116558363487,"Feb 26, 2026",$135.00,$8.10,,,Fixed price,https://www.ebay.com/itm/116558363487,1
,,"Dec 31, 2025",$63.00,$5.25,,,Fixed price,,1
,,"Dec 25, 2025",$110.00,$5.55,,,Fixed price,,1
,,"Jan 11, 2026",$64.99,$4.95,,,Fixed price,,1
,,"Dec 1, 2025",$52.00,$3.95,,,Fixed price,,1
,,"Oct 21, 2025",$32.00,$6.00,,,Fixed price,,1
1881-S San Francisco Morgan Silver Dollar PCGS MS 62 Some TONING,116704935093,"Jan 23, 2026",$95.00,$5.89,,,Fixed price,https://www.ebay.com/itm/116704935093,1
🌟 1881-S San Francisco Morgan Silver Dollar $1 Coin PCGS MS63 UNC,116707575330,"Jan 28, 2026",$96.55,$5.45,,,Fixed price,https://www.ebay.com/itm/116707575330,1
